empezar,,,empiezo,zaczynam,empiezas,zaczynasz,empieza,zaczyna,empezamos,zaczynamy,empezaís,zaczynacie,empiezan,zaczynają,empecé,zaczynałem,empezaste,zaczynałeś,empezó,zaczynał,empezamos,zaczynaliśmy,empezasteis,zaczynaliście,empezaron,,,,,,,,,,,
sentir,,,siento,czuję,sientes,czujesz,siente,czuje,sentimos,czujemy,sentís,czujecie,sienten,czują,,,,,,,,,,,,,,,,,,,,,,
saber,,,sé,ja wiem,sabes,ty wiesz,sabe,on wie,sabemos,my wiemy,sabéis,wy wiecie,saben,oni wiedzą,supe,wiedzialem,supiste,wiedziałeś,supo,wiedział,supimos,wiedzieliśmy,supisteis,wiedzieliście,supieron,wiedzieli,,,,,,,,,,
salir,,,salgo,wychodzę,sales,wychodzisz,sale,wychodzi,salimos,wychodzimy,salís,wychodzicie,salen,wychodzą,salí,wyszedłem,saliste,wyszedłeś,salió,wyszedł,salimos,wyszliśmy,salisteis,wyszliście,salieron,wyszli,,,,,,,,,,
preferir,,,prefiero,ja preferuję,prefieres,ty preferujesz,prefiere,on preferuje,preferimos,my preferujemy,preferís,wy preferujecie,prefieren,oni preferują,,,,,,,,,,,,,,,,,,,,,,
pensar,,,pienso,myślę,piensas,myślisz,piensa,myśli,pensamos,myślimy,pensáis,myślicie,piensan,myślą,,,,,,,,,,,,,,,,,,,,,,
repetir,,,repito,powtarzam,repites,powtarzasz,repite,powtarza,repetimos,powtarzamy,repetís,powtarzacie,repiten,powtarzają,,,,,,,,,,,,,,,,,,,,,,
hacer,,,hago,ja robię,haces,robisz,hace,on robi,hacemos,my robimy,hacéis,wy robicie,hacen,oni robią,hice,robiłem,hiciste,robiłeś,hizo,robił,hicimos,robiliśmy,hicisteis,robiliście,hicieron,robili,,,,,,,,,,
acostarse,,,me acuesto,kładę się,te acuestas,kładziesz się,se acuesta,kładzie się,nos acostamos,kładziemy się,os acostáis,kładziecie się,se acuestan,kładą się,me acosté,położyłem się,te acostaste,położyłeś się,se acostó,położył się,nos acostamos,położyliśmy się,os acostasteis,położyliście się,se acostaron,położyli się,,,,,,,,,,
dar,,,doy,daję,das,dajesz,da,daje,damos,dajemy,dais,dajecie,dan,dają,,,,,,,,,,,,,,,,,,,,,,
tener,,,tengo,ja mam,tienes,ty masz,tiene,on ma,tenemos,my mamy,tenéis,wy macie,tienen,oni mają,tuve,miałem,tuviste,miałeś,tuvo,miał,tuvimos,mieliśmy,tuvisteis,mieliście,tuvieron,mieli,,,,,,,,,,
dormir,,,duermo,śpię,duermes,śpisz,duerme,śpi,dormimos,śpimy,dormís,śpicie,duermen,śpią,dormí,spałem,dormiste,spałeś,durmió,spał,dormimos,spaliśmy,dormisteis,spaliście,durmieron,spali,,,,,,,,,,
volver,,,vuelvo,ja wracam,vuelves,ty wracasz,vuelve,on wraca,volvemos,my wracamy,volvéis,wy wracacie,vuelven,oni wracają,volví,wracałem,volviste,wracałeś,volvió,wracał,volvimos,wracaliśmy,volvisteis,wracaliście,volvieron,wracali,,,vuelve,wróć!,,,,,,
ser,,,soy,ja jestem (ser),eres,ty jesteś (ser),es,on jest (ser),somos,my jesteśmy (ser),sois,wy jesteście (ser),son,oni są (ser),fui,byłem (ser),fuiste,byłeś (ser),fue,był (ser),fuimos,byliśmy (ser),fuisteis,byliście (ser),fueron,byli (ser),,,,,,,,,,
ver,,,veo,ja oglądam,ves,ty oglądasz,ve,on ogląda,vemos,my oglądamy,veis,wy oglądacie,ven,oni oglądają,vi,oglądałem,viste,oglądałeś,vio,oglądał,vimos,oglądaliśmy,visteis,oglądaliście,vieron,oglądali,,,,,,,,,,
poner,kłaść, zakładać (ubranie),to put,pongo,ja kładę,pones,ty kładziesz,pone,on kładzie,ponemos,my kładziemy,ponéis,wy kładziecie,ponen,oni kładą,puse,kładłem,pusiste,kładłeś,puso,kład,pusisteis,kładliśmy,pusimos,kładliście,,,,,,,,,,,
levantarse,,,me levanto,wstaję,te levantas,wstajesz,se levanta,wstaje,nos levantamos,wstajemy,os levantáis,wstajecie,se levantan,wstają,me levanté,wstałem,te levantaste,wstałeś,se levantó,wstał,nos levantamos,wstaliśmy,os levantasteis,wstaliście,se levantaron,wstali,,,,,,,,,,
venir,,,vengo,ja przychodzę,vienes,ty przychodzisz,viene,on przychodzi,venimos,my przychodzimy,venís,wy przychodzicie,vienen,oni przychodzą,vine,przyszedłem,viniste,przyszedłeś,vino,przyszedł,vinimos,przyszliśmy,vinisteis,przyszliście,vinieron,przyszli,,,,,,,,,,
cerrar,,,cierro,zamykam,cierras,zamykasz,cierra,zamyka,cerramos,zamykamy,cerráis,zamykacie,cierran,zamykają,,,,,,,,,,,,,,,,,,,,,,
despertarse,,,me despierto,budzę się,te despiertas,budzisz się,se despierta,budzi się,nos despertamos,budzimy się,os despertáis,budzicie się,se despiertan,budzą się,me desperté,budziem się,te despertaste,budzieś się,se despertó,budzi się,nos despertamos,budziliśmy się,os despertasteis,budziliście się,se despertaron,budzili się,,,,,,,,,,
gustar,,,a mí me gusta / me gustan,lubię,a ti te gusta / te gustan,lubisz,a él le gusta / le gustan,lubi,a nosotros nos gusta / nos gustan,lubimy,a vosotros os gusta / os gustan,lubicie,a ellos les gusta / les gustan,lubią,a mí me gustó / me gustaron,lubiłem,a ti te gustó / te gustaron,lubiłeś,a él le gustó / le gustaron,lubił,nos gustó / nos gustaron,lubiliśmy,os gustó / os gustaron,lubiliście,les gustó / les gustaron,lubili,,,,,,,,,,
ir,,,voy,ja idę,vas,ty idziesz,va,on/ona idzie,vamos,my idziemy,vais,wy idziecie,van,oni idą,fui,szedłem,fuiste,szedłeś,fue,szedł,fuimos,szliśmy,fuisteis,szliście,fueron,szli,,,,,,,,,,
poder,,,puedo,mogę,puedes,możesz,puede,może,podemos,możemy,podéis,możecie,pueden,mogą,,,,,,,,,,,,,,,,,,,,,,
estar,,,estoy,ja jestem (estar),estás,ty jesteś (estar),está,on/ona jest (estar),estamos,my jesteśmy (estar),estáis,wy jesteście,están,oni są (estar),estuve,byłem,estuviste,byłeś,estuvo,był,estuvimos,byliśmy,estuvisteis,byliście,estuvieron,byli,,,,,,,,,,
escribir,,,escribo,ja piszę,escribes,ty piszesz,escribe,on pisze,escribimos,my piszemy,escribis,wy piszecie,escriben,oni piszą,escribí,pisałem,escribiste,pisałeś,escribió,pisał,escribimos,pisaliśmy,escribisteis,pisaliście,escribieron,pisali,,,,,,,,,,
lavarse,,,me lavo,myję się,te lavas,myjesz się,se lava,myje się,nos lavamos,myjemy się,os laváis,myjecie się,se lavan,myją się,,,,,,,,,,,,,,,,,,,,,,
conocer,,,conozco,znam,conoces,znasz,conoce,zna,conocemos,znamy,conocéis,znacie,conocen,znają,,,,,,,,,,,,,,,,,,,,,,
vestirse,,,me visto,ubieram się,te vistes,ubierasz się,se viste,ubiera się,nos vestimos,ubieramy się,os vestís,ubieracie się,se visten,ubierają się,,,,,,,,,,,,,,,,,,,,,,
llamarse,nazywać się,to be called,me llamo,nazywam się,te llamas,ty nazywasz się,se llama,nazywa się,nos llamamos,nazywamy się,os llamáis,wy nazywacie się,se llaman,oni nazywają się,me llamé,nazywałem się,te llamaste,nazywałeś się,se llamó,nazywał się,nos llamamos,nazywaliśmy się,os llamasteis,nazywaliście się,se llamaron,nazywali się,,,,,,,,,,
comer,,,,,,,,,,,,,,,comí,jadłem,comiste,jadłeś,comió,jadł,comimos,jedliśmy,comisteis,jedliście,comieron,jedli,,,,,,,,,,
acabar,,,,,,,,,,,,,,,acabé,skończyłem,acabaste,skończyłeś,acabó,skończył,acabamos,skończyliśmy,acabasteis,skończyliście,acabaron,skończyli,,,,,,,,,,
comprar,,,,,,,,,,,,,,,compré,kupiłem,compraste,kupiłeś,compró,kupił,compramos,kupiliśmy,comprasteis,kupiliście,compraron,kupili,,,,,,,,,,
vestir,,,,,,,,,,,,,,,vestí,nosiłem,vestiste,nosiłeś,vistió,nosił,vestimos,nosiliśmy,vestisteis,nosiliście,vistieron,nosili,,,,,,,,,,
decir,,,,,,,,,,,,,,,dije,mówiłem,dijiste,mówiłeś,dijo,mówił,dijimos,mówiliśmy,dijisteis,mówiliście,dijeron,mówili,,,,,,,,,,
preparar,,,,,,,,,,,,,,,preparé,przygotowałem,preparaste,przygotowałeś,preparó,przygotował,preparamos,przygotowaliśmy,preparasteis,przygotowaliście,prepararon,przygotowali,,,,,,,,,,
limpiar,,,,,,,,,,,,,,,limpié,czyściłem,limpiaste,czyściłeś,limpió,czyścił,limpiamos,czyściliśmy,limpiasteis,czyściliście,limpiaron,czyścili,,,,,,,,,,
morir,umrzeć,to die,muero,umieram,mueres,umierasz,muere,umiera,morimos,umieramy,morís,umieracie,mueren,umierają,morí,umarłem,moriste,umarłeś,murió,umarł,morimos,umarliśmy,moristeis,umarliście,murieron,umarli,muere,umrzyj,,,,,,,,
