abrir,otwierać,
acabar,kończyć,skończył,skończyli,kończy,,
acercarse,podejść,
acostarse,położyć się,położył,położyli,kładzie,,
alcanzar,sięgać,
alquilar,wynajmować,wynajmował,wynajmowali,wynajmuje,,
andar,chodzić,
aparcar,parkować,
aprobarse,aprobować,
beber,pić,
caerse,upaść,
causar,powodować,
cenar,jeść kolację,
cerrar,zamykać,zamykał,zamykali,zamyka,,
comer,jeść,jadł,jedli,je,"",
componer,skomponować,
comprar,kupować,kupił,kupili,kupuje,,
conducir,prowadzić,
confundirse,pomylić się,
conocer,znać,znał,znali,zna,,
conseguir,zyskać,zyskał,zyskali,zyskuje,,
construir,budować,
contar,liczyć,
crecer,rosnąć,
dar,dać,dał,dali,daje,,
deber,musieć,
decir,mówić,mówił,mówili,mówi,,
dejar,pozostawić,
desayunar,jeść śniadanie,,,,,
descubrir,odkryć,odkrył,odkryli,odkrywa,,
despertarse,budzić się,budził,budzili,budzi,,
doler,boleć,
dormir,spać,spał,spali,śpi,,
empezar,zaczynać,zaczynał,zaczynali,zaczyna,,
entender,rozumieć,
equivocarse,pomylić się,
escribir,pisać,pisał,pisali,pisze,,
esperar,czekać,czekał,czekali,czeka,,
estar,być,był,byli,jest,jesteś,
fregar,szorować,
freír,smażyć,
haber,egzystować,
hacer,robić,
hervir,gotować,
huir,uciekać,
influir,wpływać,
ir,iść,szedł,szli,idzie,,
jugar,grać,
lavarse,myć się,mył,myli,myje,,
levantarse,wstać; obudzić się,wstał,wstali,wstaje,,false
limpiar,czyścić,czyścił,czyścili,czyści,,
llamarse,nazywać się,nazywał,nazywali,nazywa,,
llevar,nosić,
llevarse,dogadywać się,
llover,padać,
luchar,walczyć,
marcar,zaznaczać,
medir,mierzyć,
morir,umrzeć,
mostrar,pokazywać,
mover,przenosić,
nacer,urodzić się,rodził,rodzili,rodzi,,
obtener,uzyskać,
oir,słyszeć,
oler,wąchać,
parecer,przypominać,
pedir,poprosić,
pensar,myśleć,myśllał,myśleli,myśli,,
poder,móc,mogł,mogli,może,,
poner,kłaść,
preferir,preferować,preferował,preferowali,preferuje,,
preparar,przygotować,przygotował,przygotowali,przygotowuje,,
producir,produkować,
prohibir,zabronić,
querer,chcieć,chciał,chcieli,chce,,
rechazar,odrzucać,
repetir,powtarzać,powtarzał,powtarzali,powtarza,,
romparse,złamać,
romper,łamać,
saber,wiedzieć,wiedział,wiedzieli,wie,,
sacarse,dostać,,,,,false
salir,wychodzić,wyszedł,wyszli,wychodzi,,
seguir,kontynuować,
sentir,czuć,czuł,czuli,czuje,,
ser,być,był,byli,jest,jesteś,
soler,mieć w zwyczaju,
suponer,przypuszczać,
sustituir,zastępować,
tener,mieć,miał,mieli,ma,,
tocar,dotykać,
traducir,tłumaczyć,
traer,przynieść,
tratar,próbować,
utiizar,używać,
vencer,pokonać,
venir,przychodzić,
ver,oglądać,oglądał,oglądali,ogląda,,
vestir,nosić,nosił,nosili,nosi,,
vestirse,ubierać się,ubierał,ubierali,ubiera,,
volar,latać,
volver,wracać,wracał,wracali,wraca,,
