#separator:,
#html:true
#if matches:update current
#notetype:Spanish Conjugation
#deck:Spanish::conjugación::All verbs::all
#columns:question,infinitivo,polski,english,person,case,conj_espanol,conj_polski,irregular,hint,tags
"abrir, yo, presente",abrir,otwierać,to open,yo,presente,abro,,false,,
"abrir, tú, presente",abrir,otwierać,to open,tu,presente,abres,,false,,
"abrir, él, presente",abrir,otwierać,to open,el,presente,abre,,false,,
"abrir, ns, presente",abrir,otwierać,to open,ns,presente,abrimos,,false,,
"abrir, vs, presente",abrir,otwierać,to open,vs,presente,abrís,,false,,
"abrir, ellos, presente",abrir,otwierać,to open,ellos,presente,abren,,false,,
"abrir, yo, pret. indefinido",abrir,otwierać,to open,yo,pret_indefinido,abrí,,false,,
"abrir, tú, pret. indefinido",abrir,otwierać,to open,tu,pret_indefinido,abriste,,false,,
"abrir, él, pret. indefinido",abrir,otwierać,to open,el,pret_indefinido,abrió,,false,,
"abrir, ns, pret. indefinido",abrir,otwierać,to open,ns,pret_indefinido,abrimos,,false,,
"abrir, vs, pret. indefinido",abrir,otwierać,to open,vs,pret_indefinido,abristeis,,false,,
"abrir, ellos, pret. indefinido",abrir,otwierać,to open,ellos,pret_indefinido,abrieron,,false,,
"abrir, yo, pret. perfecto",abrir,otwierać,to open,yo,pret_perfecto,he ab<em>iert</em>o,,true,,
"abrir, tú, pret. perfecto",abrir,otwierać,to open,tu,pret_perfecto,has ab<em>iert</em>o,,true,,
"abrir, él, pret. perfecto",abrir,otwierać,to open,el,pret_perfecto,ha ab<em>iert</em>o,,true,,
"abrir, ns, pret. perfecto",abrir,otwierać,to open,ns,pret_perfecto,hemos ab<em>iert</em>o,,true,,
"abrir, vs, pret. perfecto",abrir,otwierać,to open,vs,pret_perfecto,habéis ab<em>iert</em>o,,true,,
"abrir, ellos, pret. perfecto",abrir,otwierać,to open,ellos,pret_perfecto,han ab<em>iert</em>o,,true,,
"abrir, yo, presente progresivo",abrir,otwierać,to open,yo,presente_progresivo,estoy abriendo,,false,,
"abrir, tú, presente progresivo",abrir,otwierać,to open,tu,presente_progresivo,estás abriendo,,false,,
"abrir, él, presente progresivo",abrir,otwierać,to open,el,presente_progresivo,está abriendo,,false,,
"abrir, ns, presente progresivo",abrir,otwierać,to open,ns,presente_progresivo,estamos abriendo,,false,,
"abrir, vs, presente progresivo",abrir,otwierać,to open,vs,presente_progresivo,estáis abriendo,,false,,
"abrir, ellos, presente progresivo",abrir,otwierać,to open,ellos,presente_progresivo,están abriendo,,false,,
"abrir, yo, pretérito imperfecto",abrir,otwierać,to open,yo,pret_imperfecto,abría,,false,,
"abrir, tú, pretérito imperfecto",abrir,otwierać,to open,tu,pret_imperfecto,abrías,,false,,
"abrir, él, pretérito imperfecto",abrir,otwierać,to open,el,pret_imperfecto,abría,,false,,
