#separator:,
#html:true
#if matches:keep both
#notetype:Spanish Conjugation
#deck:Spanish::conjugación::All verbs::irregulares
#columns:question,infinitivo,polski,english,person,case,conj_espanol,conj_polski,irregular,hint,tags
"abrir, yo, pret. perfecto",abrir,otwierać,to open,yo,pret_perfecto,he ab<em>iert</em>o,,true,,
"abrir, tú, pret. perfecto",abrir,otwierać,to open,tu,pret_perfecto,has ab<em>iert</em>o,,true,,
"abrir, él, pret. perfecto",abrir,otwierać,to open,el,pret_perfecto,ha ab<em>iert</em>o,,true,,
"abrir, ns, pret. perfecto",abrir,otwierać,to open,ns,pret_perfecto,hemos ab<em>iert</em>o,,true,,
"abrir, vs, pret. perfecto",abrir,otwierać,to open,vs,pret_perfecto,habéis ab<em>iert</em>o,,true,,
"abrir, ellos, pret. perfecto",abrir,otwierać,to open,ellos,pret_perfecto,han ab<em>iert</em>o,,true,,
"acercarse, yo, pret. indefinido",acercarse,podejść,to approach,yo,pret_indefinido,me acer<em>qu</em>é,,true,,
"acercarse, usted, imperativo",acercarse,podejść,to approach,ud,imperativo,acér<em>qu</em>ese,,true,,
"acercarse, ns, imperativo",acercarse,podejść,to approach,ns,imperativo,acer<em>qu</em>émonos,,true,,
"acercarse, ustedes, imperativo",acercarse,podejść,to approach,uds,imperativo,acér<em>qu</em>ense,,true,,
"acostarse, yo, presente",acostarse,położyć się,to go to bed,yo,presente,me ac<em>ue</em>sto,kładę się,true,,conjugation::basic-verb
"acostarse, tú, presente",acostarse,położyć się,to go to bed,tu,presente,te ac<em>ue</em>stas,kładziesz się,true,,conjugation::basic-verb
"acostarse, él, presente",acostarse,położyć się,to go to bed,el,presente,se ac<em>ue</em>sta,kładzie się,true,,conjugation::basic-verb
"acostarse, ellos, presente",acostarse,położyć się,to go to bed,ellos,presente,se ac<em>ue</em>stan,kładą się,true,,conjugation::basic-verb
"acostarse, tú, imperativo",acostarse,położyć się,to go to bed,tu,imperativo,ac<em>ué</em>state,,true,,conjugation::basic-verb
"acostarse, usted, imperativo",acostarse,położyć się,to go to bed,ud,imperativo,ac<em>ué</em>stese,,true,,conjugation::basic-verb
"acostarse, ustedes, imperativo",acostarse,położyć się,to go to bed,uds,imperativo,ac<em>ué</em>stense,,true,,conjugation::basic-verb
"andar, yo, pret. indefinido",andar,chodzić,to walk,yo,pret_indefinido,and<em>uve</em>,,true,,conjugation::basic-verb
"andar, tú, pret. indefinido",andar,chodzić,to walk,tu,pret_indefinido,and<em>uvi</em>ste,,true,,conjugation::basic-verb
"andar, él, pret. indefinido",andar,chodzić,to walk,el,pret_indefinido,and<em>uvo</em>,,true,,conjugation::basic-verb
"andar, ns, pret. indefinido",andar,chodzić,to walk,ns,pret_indefinido,and<em>uvi</em>mos,,true,,conjugation::basic-verb
"andar, vs, pret. indefinido",andar,chodzić,to walk,vs,pret_indefinido,and<em>uvi</em>steis,,true,,conjugation::basic-verb
"andar, ellos, pret. indefinido",andar,chodzić,to walk,ellos,pret_indefinido,and<em>uvie</em>ron,,true,,conjugation::basic-verb
"caerse, yo, presente",caerse,upaść,to fall,yo,presente,me ca<em>ig</em>o,,true,,
"caerse, tú, pret. indefinido",caerse,upaść,to fall,tu,pret_indefinido,te ca<em>í</em>ste,,true,,
"caerse, él, pret. indefinido",caerse,upaść,to fall,el,pret_indefinido,se ca<em>y</em>ó,,true,,
"caerse, ns, pret. indefinido",caerse,upaść,to fall,ns,pret_indefinido,nos ca<em>í</em>mos,,true,,
"caerse, vs, pret. indefinido",caerse,upaść,to fall,vs,pret_indefinido,os ca<em>í</em>steis,,true,,
"caerse, ellos, pret. indefinido",caerse,upaść,to fall,ellos,pret_indefinido,se ca<em>y</em>eron,,true,,
"caerse, yo, pret. perfecto",caerse,upaść,to fall,yo,pret_perfecto,me he ca<em>í</em>do,,true,,
"caerse, tú, pret. perfecto",caerse,upaść,to fall,tu,pret_perfecto,te has ca<em>í</em>do,,true,,
"caerse, él, pret. perfecto",caerse,upaść,to fall,el,pret_perfecto,se ha ca<em>í</em>do,,true,,
"caerse, ns, pret. perfecto",caerse,upaść,to fall,ns,pret_perfecto,nos hemos ca<em>í</em>do,,true,,
"caerse, vs, pret. perfecto",caerse,upaść,to fall,vs,pret_perfecto,os habéis ca<em>í</em>do,,true,,
"caerse, ellos, pret. perfecto",caerse,upaść,to fall,ellos,pret_perfecto,se han ca<em>í</em>do,,true,,
"caerse, yo, presente progresivo",caerse,upaść,to fall,yo,presente_progresivo,me estoy ca<em>y</em>endo,,true,,
"caerse, tú, presente progresivo",caerse,upaść,to fall,tu,presente_progresivo,te estás ca<em>y</em>endo,,true,,
"caerse, él, presente progresivo",caerse,upaść,to fall,el,presente_progresivo,se está ca<em>y</em>endo,,true,,
"caerse, ns, presente progresivo",caerse,upaść,to fall,ns,presente_progresivo,nos estamos ca<em>y</em>endo,,true,,
"caerse, vs, presente progresivo",caerse,upaść,to fall,vs,presente_progresivo,os estáis ca<em>y</em>endo,,true,,
"caerse, ellos, presente progresivo",caerse,upaść,to fall,ellos,presente_progresivo,se están ca<em>y</em>endo,,true,,
"caerse, usted, imperativo",caerse,upaść,to fall,ud,imperativo,cá<em>ig</em>ase,,true,,
"caerse, ns, imperativo",caerse,upaść,to fall,ns,imperativo,ca<em>ig</em>ámonos,,true,,
"caerse, ustedes, imperativo",caerse,upaść,to fall,uds,imperativo,cá<em>ig</em>anse,,true,,
"cerrar, yo, presente",cerrar,zamykać,to close,yo,presente,c<em>i</em>erro,zamykam,true,,
"cerrar, tú, presente",cerrar,zamykać,to close,tu,presente,c<em>i</em>erras,zamykasz,true,,
"cerrar, él, presente",cerrar,zamykać,to close,el,presente,c<em>i</em>erra,zamyka,true,,
"cerrar, ellos, presente",cerrar,zamykać,to close,ellos,presente,c<em>i</em>erran,zamykją,true,,
"cerrar, tú, imperativo",cerrar,zamykać,to close,tu,imperativo,c<em>i</em>erra,,true,,
"cerrar, usted, imperativo",cerrar,zamykać,to close,ud,imperativo,c<em>i</em>erre,,true,,
"cerrar, ustedes, imperativo",cerrar,zamykać,to close,uds,imperativo,c<em>i</em>erren,,true,,
"componer, yo, presente",componer,skomponować,to make up,yo,presente,compon<em>g</em>o,,true,,
"componer, yo, pret. indefinido",componer,skomponować,to make up,yo,pret_indefinido,comp<em>use</em>,,true,,
"componer, tú, pret. indefinido",componer,skomponować,to make up,tu,pret_indefinido,comp<em>us</em>iste,,true,,
"componer, él, pret. indefinido",componer,skomponować,to make up,el,pret_indefinido,comp<em>uso</em>,,true,,
"componer, ns, pret. indefinido",componer,skomponować,to make up,ns,pret_indefinido,comp<em>us</em>imos,,true,,
"componer, vs, pret. indefinido",componer,skomponować,to make up,vs,pret_indefinido,comp<em>us</em>isteis,,true,,
"componer, ellos, pret. indefinido",componer,skomponować,to make up,ellos,pret_indefinido,comp<em>us</em>ieron,,true,,
"componer, yo, pret. perfecto",componer,skomponować,to make up,yo,pret_perfecto,he comp<em>uest</em>o,,true,,
"componer, tú, pret. perfecto",componer,skomponować,to make up,tu,pret_perfecto,has comp<em>uest</em>o,,true,,
"componer, él, pret. perfecto",componer,skomponować,to make up,el,pret_perfecto,ha comp<em>uest</em>o,,true,,
"componer, ns, pret. perfecto",componer,skomponować,to make up,ns,pret_perfecto,hemos comp<em>uest</em>o,,true,,
"componer, vs, pret. perfecto",componer,skomponować,to make up,vs,pret_perfecto,habéis comp<em>uest</em>o,,true,,
"componer, ellos, pret. perfecto",componer,skomponować,to make up,ellos,pret_perfecto,han comp<em>uest</em>o,,true,,
"componer, tú, imperativo",componer,skomponować,to make up,tu,imperativo,comp<em>ón</em>,,true,,
"componer, usted, imperativo",componer,skomponować,to make up,ud,imperativo,compon<em>g</em>a,,true,,
"componer, ns, imperativo",componer,skomponować,to make up,ns,imperativo,compon<em>g</em>amos,,true,,
"componer, ustedes, imperativo",componer,skomponować,to make up,uds,imperativo,compon<em>g</em>an,,true,,
"componer, yo, futuro",componer,skomponować,to make up,yo,futuro_simple,compon<em>dr</em>é,,true,,
"componer, tú, futuro",componer,skomponować,to make up,tu,futuro_simple,compon<em>dr</em>ás,,true,,
"componer, él, futuro",componer,skomponować,to make up,el,futuro_simple,compon<em>dr</em>á,,true,,
"componer, ns, futuro",componer,skomponować,to make up,ns,futuro_simple,compon<em>dr</em>emos,,true,,
"componer, vs, futuro",componer,skomponować,to make up,vs,futuro_simple,compon<em>dr</em>éis,,true,,
"componer, ellos, futuro",componer,skomponować,to make up,ellos,futuro_simple,compon<em>dr</em>án,,true,,
"conducir, yo, presente",conducir,prowadzić,to lead,yo,presente,condu<em>z</em>co,,true,,
"conducir, yo, pret. indefinido",conducir,prowadzić,to lead,yo,pret_indefinido,condu<em>je</em>,,true,,
"conducir, tú, pret. indefinido",conducir,prowadzić,to lead,tu,pret_indefinido,condu<em>j</em>iste,,true,,
"conducir, él, pret. indefinido",conducir,prowadzić,to lead,el,pret_indefinido,condu<em>jo</em>,,true,,
"conducir, ns, pret. indefinido",conducir,prowadzić,to lead,ns,pret_indefinido,condu<em>j</em>imos,,true,,
"conducir, vs, pret. indefinido",conducir,prowadzić,to lead,vs,pret_indefinido,condu<em>j</em>isteis,,true,,
"conducir, ellos, pret. indefinido",conducir,prowadzić,to lead,ellos,pret_indefinido,condu<em>j</em>eron,,true,,
"conducir, usted, imperativo",conducir,prowadzić,to lead,ud,imperativo,condu<em>z</em>ca,,true,,
"conducir, ns, imperativo",conducir,prowadzić,to lead,ns,imperativo,condu<em>z</em>camos,,true,,
"conducir, ustedes, imperativo",conducir,prowadzić,to lead,uds,imperativo,condu<em>z</em>can,,true,,
"conocer, yo, presente",conocer,znać,to know,yo,presente,cono<em>z</em>co,znam,true,,
"conocer, usted, imperativo",conocer,znać,to know,ud,imperativo,cono<em>z</em>ca,,true,,
"conocer, ns, imperativo",conocer,znać,to know,ns,imperativo,cono<em>z</em>camos,,true,,
"conocer, ustedes, imperativo",conocer,znać,to know,uds,imperativo,cono<em>z</em>can,,true,,
