#separator:,
#html:true
#if matches:keep both
#notetype:Spanish Conjugation
#deck:Spanish::conjugación::All verbs::presente: yo, tú, él
#columns:question,infinitivo,polski,english,person,case,conj_espanol,conj_polski,irregular,hint,tags
"abrir, yo, presente",abrir,otwierać,to open,yo,presente,abro,,false,,
"abrir, tú, presente",abrir,otwierać,to open,tu,presente,abres,,false,,
"abrir, él, presente",abrir,otwierać,to open,el,presente,abre,,false,,
"acabar, yo, presente",acabar,kończyć,to finish,yo,presente,acabo,kończę,false,,
"acabar, tú, presente",acabar,kończyć,to finish,tu,presente,acabas,kończysz,false,,
"acabar, él, presente",acabar,kończyć,to finish,el,presente,acaba,kończy,false,,
"acercarse, yo, presente",acercarse,podejść,to approach,yo,presente,me acerco,,false,,
"acercarse, tú, presente",acercarse,podejść,to approach,tu,presente,te acercas,,false,,
"acercarse, él, presente",acercarse,podejść,to approach,el,presente,se acerca,,false,,
"acostarse, yo, presente",acostarse,położyć się,to go to bed,yo,presente,me ac<em>ue</em>sto,kładę się,true,,conjugation::basic-verb
"acostarse, tú, presente",acostarse,położyć się,to go to bed,tu,presente,te ac<em>ue</em>stas,kładziesz się,true,,conjugation::basic-verb
"acostarse, él, presente",acostarse,położyć się,to go to bed,el,presente,se ac<em>ue</em>sta,kładzie się,true,,conjugation::basic-verb
"alquilar, yo, presente",alquilar,wynajmować,to rent,yo,presente,alquilo,wynajmuję,false,,
"alquilar, tú, presente",alquilar,wynajmować,to rent,tu,presente,alquilas,wynajmujesz,false,,
"alquilar, él, presente",alquilar,wynajmować,to rent,el,presente,alquila,wynajmuje,false,,
"andar, yo, presente",andar,chodzić,to walk,yo,presente,ando,,false,,conjugation::basic-verb
"andar, tú, presente",andar,chodzić,to walk,tu,presente,andas,,false,,conjugation::basic-verb
"andar, él, presente",andar,chodzić,to walk,el,presente,anda,,false,,conjugation::basic-verb
"beber, yo, presente",beber,pić,to drink,yo,presente,bebo,,false,,
"beber, tú, presente",beber,pić,to drink,tu,presente,bebes,,false,,
"beber, él, presente",beber,pić,to drink,el,presente,bebe,,false,,
"caerse, yo, presente",caerse,upaść,to fall,yo,presente,me ca<em>ig</em>o,,true,,
"caerse, tú, presente",caerse,upaść,to fall,tu,presente,te caes,,false,,
"caerse, él, presente",caerse,upaść,to fall,el,presente,se cae,,false,,
"causar, yo, presente",causar,powodować,to cause,yo,presente,causo,,false,,
"causar, tú, presente",causar,powodować,to cause,tu,presente,causas,,false,,
"causar, él, presente",causar,powodować,to cause,el,presente,causa,,false,,
"cenar, yo, presente",cenar,jeść kolację,to have dinner,yo,presente,ceno,,false,,
"cenar, tú, presente",cenar,jeść kolację,to have dinner,tu,presente,cenas,,false,,
"cenar, él, presente",cenar,jeść kolację,to have dinner,el,presente,cena,,false,,
"cerrar, yo, presente",cerrar,zamykać,to close,yo,presente,c<em>i</em>erro,zamykam,true,,
