#separator:,
#html:true
#if matches:keep both
#notetype:Spanish Conjugation
#deck:Spanish::conjugación::All verbs::presente progresivo: yo, tú, él
#columns:question,infinitivo,polski,english,person,case,conj_espanol,conj_polski,irregular,hint,tags
"abrir, yo, presente progresivo",abrir,otwierać,to open,yo,presente_progresivo,estoy abriendo,,false,,
"abrir, tú, presente progresivo",abrir,otwierać,to open,tu,presente_progresivo,estás abriendo,,false,,
"abrir, él, presente progresivo",abrir,otwierać,to open,el,presente_progresivo,está abriendo,,false,,
"acabar, yo, presente progresivo",acabar,kończyć,to finish,yo,presente_progresivo,estoy acabando,,false,,
"acabar, tú, presente progresivo",acabar,kończyć,to finish,tu,presente_progresivo,estás acabando,,false,,
"acabar, él, presente progresivo",acabar,kończyć,to finish,el,presente_progresivo,está acabando,,false,,
"acercarse, yo, presente progresivo",acercarse,podejść,to approach,yo,presente_progresivo,me estoy acercando,,false,,
"acercarse, tú, presente progresivo",acercarse,podejść,to approach,tu,presente_progresivo,te estás acercando,,false,,
"acercarse, él, presente progresivo",acercarse,podejść,to approach,el,presente_progresivo,se está acercando,,false,,
"acostarse, yo, presente progresivo",acostarse,położyć się,to go to bed,yo,presente_progresivo,me estoy acostando,,false,,conjugation::basic-verb
"acostarse, tú, presente progresivo",acostarse,położyć się,to go to bed,tu,presente_progresivo,te estás acostando,,false,,conjugation::basic-verb
"acostarse, él, presente progresivo",acostarse,położyć się,to go to bed,el,presente_progresivo,se está acostando,,false,,conjugation::basic-verb
"alquilar, yo, presente progresivo",alquilar,wynajmować,to rent,yo,presente_progresivo,estoy alquilando,,false,,
"alquilar, tú, presente progresivo",alquilar,wynajmować,to rent,tu,presente_progresivo,estás alquilando,,false,,
"alquilar, él, presente progresivo",alquilar,wynajmować,to rent,el,presente_progresivo,está alquilando,,false,,
"andar, yo, presente progresivo",andar,chodzić,to walk,yo,presente_progresivo,estoy andando,,false,,conjugation::basic-verb
"andar, tú, presente progresivo",andar,chodzić,to walk,tu,presente_progresivo,estás andando,,false,,conjugation::basic-verb
"andar, él, presente progresivo",andar,chodzić,to walk,el,presente_progresivo,está andando,,false,,conjugation::basic-verb
"beber, yo, presente progresivo",beber,pić,to drink,yo,presente_progresivo,estoy bebiendo,,false,,
"beber, tú, presente progresivo",beber,pić,to drink,tu,presente_progresivo,estás bebiendo,,false,,
"beber, él, presente progresivo",beber,pić,to drink,el,presente_progresivo,está bebiendo,,false,,
"caerse, yo, presente progresivo",caerse,upaść,to fall,yo,presente_progresivo,me estoy ca<em>y</em>endo,,true,,
"caerse, tú, presente progresivo",caerse,upaść,to fall,tu,presente_progresivo,te estás ca<em>y</em>endo,,true,,
"caerse, él, presente progresivo",caerse,upaść,to fall,el,presente_progresivo,se está ca<em>y</em>endo,,true,,
"causar, yo, presente progresivo",causar,powodować,to cause,yo,presente_progresivo,estoy causando,,false,,
"causar, tú, presente progresivo",causar,powodować,to cause,tu,presente_progresivo,estás causando,,false,,
"causar, él, presente progresivo",causar,powodować,to cause,el,presente_progresivo,está causando,,false,,
"cenar, yo, presente progresivo",cenar,jeść kolację,to have dinner,yo,presente_progresivo,estoy cenando,,false,,
"cenar, tú, presente progresivo",cenar,jeść kolację,to have dinner,tu,presente_progresivo,estás cenando,,false,,
"cenar, él, presente progresivo",cenar,jeść kolację,to have dinner,el,presente_progresivo,está cenando,,false,,
"cerrar, yo, presente progresivo",cerrar,zamykać,to close,yo,presente_progresivo,estoy cerrando,,false,,
"cerrar, tú, presente progresivo",cerrar,zamykać,to close,tu,presente_progresivo,estás cerrando,,false,,
"cerrar, él, presente progresivo",cerrar,zamykać,to close,el,presente_progresivo,está cerrando,,false,,
"comer, yo, presente progresivo",comer,jeść,to eat,yo,presente_progresivo,estoy comiendo,,false,,conjugation::basic-verb
"comer, tú, presente progresivo",comer,jeść,to eat,tu,presente_progresivo,estás comiendo,,false,,conjugation::basic-verb
"comer, él, presente progresivo",comer,jeść,to eat,el,presente_progresivo,está comiendo,,false,,conjugation::basic-verb
"componer, yo, presente progresivo",componer,skomponować,to make up,yo,presente_progresivo,estoy componiendo,,false,,
"componer, tú, presente progresivo",componer,skomponować,to make up,tu,presente_progresivo,estás componiendo,,false,,
"componer, él, presente progresivo",componer,skomponować,to make up,el,presente_progresivo,está componiendo,,false,,
"comprar, yo, presente progresivo",comprar,kupować,to buy,yo,presente_progresivo,estoy comprando,,false,,conjugation::basic-verb
"comprar, tú, presente progresivo",comprar,kupować,to buy,tu,presente_progresivo,estás comprando,,false,,conjugation::basic-verb
"comprar, él, presente progresivo",comprar,kupować,to buy,el,presente_progresivo,está comprando,,false,,conjugation::basic-verb
"conducir, yo, presente progresivo",conducir,prowadzić,to lead,yo,presente_progresivo,estoy conduciendo,,false,,
"conducir, tú, presente progresivo",conducir,prowadzić,to lead,tu,presente_progresivo,estás conduciendo,,false,,
"conducir, él, presente progresivo",conducir,prowadzić,to lead,el,presente_progresivo,está conduciendo,,false,,
"confundirse, yo, presente progresivo",confundirse,pomylić się,to make a mistake,yo,presente_progresivo,me estoy confundiendo,,false,,conjugation::basic-verb
"confundirse, tú, presente progresivo",confundirse,pomylić się,to make a mistake,tu,presente_progresivo,te estás confundiendo,,false,,conjugation::basic-verb
"confundirse, él, presente progresivo",confundirse,pomylić się,to make a mistake,el,presente_progresivo,se está confundiendo,,false,,conjugation::basic-verb
"conocer, yo, presente progresivo",conocer,znać,to know,yo,presente_progresivo,estoy conociendo,,false,,
"conocer, tú, presente progresivo",conocer,znać,to know,tu,presente_progresivo,estás conociendo,,false,,
