#separator:,
#html:true
#if matches:keep both
#notetype:Spanish Conjugation
#deck:Spanish::conjugación::All verbs::pret. indefinido: yo, tú, él
#columns:question,infinitivo,polski,english,person,case,conj_espanol,conj_polski,irregular,hint,tags
"abrir, yo, pret. indefinido",abrir,otwierać,to open,yo,pret_indefinido,abrí,,false,,conjugation::po-polsku
"abrir, tú, pret. indefinido",abrir,otwierać,to open,tu,pret_indefinido,abriste,,false,,conjugation::po-polsku
"abrir, él, pret. indefinido",abrir,otwierać,to open,el,pret_indefinido,abrió,,false,,conjugation::po-polsku
"acabar, yo, pret. indefinido",acabar,kończyć,to finish,yo,pret_indefinido,acabé,skończyłem,false,,conjugation::po-polsku
"acabar, tú, pret. indefinido",acabar,kończyć,to finish,tu,pret_indefinido,acabaste,skończyłeś,false,,conjugation::po-polsku
"acabar, él, pret. indefinido",acabar,kończyć,to finish,el,pret_indefinido,acabó,skończył,false,,conjugation::po-polsku
"acercarse, yo, pret. indefinido",acercarse,podejść,to approach,yo,pret_indefinido,me acer<em>qu</em>é,,true,,conjugation::po-polsku
"acercarse, tú, pret. indefinido",acercarse,podejść,to approach,tu,pret_indefinido,te acercaste,,false,,conjugation::po-polsku
"acercarse, él, pret. indefinido",acercarse,podejść,to approach,el,pret_indefinido,se acercó,,false,,conjugation::po-polsku
"acostarse, yo, pret. indefinido",acostarse,położyć się,to go to bed,yo,pret_indefinido,me acosté,położyłem się,false,,conjugation::po-polsku conjugation::basic-verb
"acostarse, tú, pret. indefinido",acostarse,położyć się,to go to bed,tu,pret_indefinido,te acostaste,położyłeś się,false,,conjugation::po-polsku conjugation::basic-verb
"acostarse, él, pret. indefinido",acostarse,położyć się,to go to bed,el,pret_indefinido,se acostó,położył się,false,,conjugation::po-polsku conjugation::basic-verb
"alquilar, yo, pret. indefinido",alquilar,wynajmować,to rent,yo,pret_indefinido,alquilé,wynajmowałem,false,,conjugation::po-polsku
"alquilar, tú, pret. indefinido",alquilar,wynajmować,to rent,tu,pret_indefinido,alquilaste,wynajmowałeś,false,,conjugation::po-polsku
"alquilar, él, pret. indefinido",alquilar,wynajmować,to rent,el,pret_indefinido,alquiló,wynajmował,false,,conjugation::po-polsku
"andar, yo, pret. indefinido",andar,chodzić,to walk,yo,pret_indefinido,and<em>uve</em>,,true,,conjugation::po-polsku conjugation::basic-verb
"andar, tú, pret. indefinido",andar,chodzić,to walk,tu,pret_indefinido,and<em>uvi</em>ste,,true,,conjugation::po-polsku conjugation::basic-verb
"andar, él, pret. indefinido",andar,chodzić,to walk,el,pret_indefinido,and<em>uvo</em>,,true,,conjugation::po-polsku conjugation::basic-verb
"beber, yo, pret. indefinido",beber,pić,to drink,yo,pret_indefinido,bebí,,false,,conjugation::po-polsku
"beber, tú, pret. indefinido",beber,pić,to drink,tu,pret_indefinido,bebiste,,false,,conjugation::po-polsku
"beber, él, pret. indefinido",beber,pić,to drink,el,pret_indefinido,bebió,,false,,conjugation::po-polsku
"caerse, yo, pret. indefinido",caerse,upaść,to fall,yo,pret_indefinido,me caí,,false,,conjugation::po-polsku
"caerse, tú, pret. indefinido",caerse,upaść,to fall,tu,pret_indefinido,te ca<em>í</em>ste,,true,,conjugation::po-polsku
"caerse, él, pret. indefinido",caerse,upaść,to fall,el,pret_indefinido,se ca<em>y</em>ó,,true,,conjugation::po-polsku
"causar, yo, pret. indefinido",causar,powodować,to cause,yo,pret_indefinido,causé,,false,,conjugation::po-polsku
"causar, tú, pret. indefinido",causar,powodować,to cause,tu,pret_indefinido,causaste,,false,,conjugation::po-polsku
"causar, él, pret. indefinido",causar,powodować,to cause,el,pret_indefinido,causó,,false,,conjugation::po-polsku
"cenar, yo, pret. indefinido",cenar,jeść kolację,to have dinner,yo,pret_indefinido,cené,,false,,conjugation::po-polsku
"cenar, tú, pret. indefinido",cenar,jeść kolację,to have dinner,tu,pret_indefinido,cenaste,,false,,conjugation::po-polsku
"cenar, él, pret. indefinido",cenar,jeść kolację,to have dinner,el,pret_indefinido,cenó,,false,,conjugation::po-polsku
"cerrar, yo, pret. indefinido",cerrar,zamykać,to close,yo,pret_indefinido,cerré,zamykałem,false,,conjugation::po-polsku
"cerrar, tú, pret. indefinido",cerrar,zamykać,to close,tu,pret_indefinido,cerraste,zamykałeś,false,,conjugation::po-polsku
"cerrar, él, pret. indefinido",cerrar,zamykać,to close,el,pret_indefinido,cerró,zamykał,false,,conjugation::po-polsku
"comer, yo, pret. indefinido",comer,jeść,to eat,yo,pret_indefinido,comí,jadłem,false,,conjugation::po-polsku conjugation::basic-verb
"comer, tú, pret. indefinido",comer,jeść,to eat,tu,pret_indefinido,comiste,jadłeś,false,,conjugation::po-polsku conjugation::basic-verb
"comer, él, pret. indefinido",comer,jeść,to eat,el,pret_indefinido,comió,jadł,false,,conjugation::po-polsku conjugation::basic-verb
"componer, yo, pret. indefinido",componer,skomponować,to make up,yo,pret_indefinido,comp<em>use</em>,,true,,conjugation::po-polsku
"componer, tú, pret. indefinido",componer,skomponować,to make up,tu,pret_indefinido,comp<em>us</em>iste,,true,,conjugation::po-polsku
"componer, él, pret. indefinido",componer,skomponować,to make up,el,pret_indefinido,comp<em>uso</em>,,true,,conjugation::po-polsku
"comprar, yo, pret. indefinido",comprar,kupować,to buy,yo,pret_indefinido,compré,kupiłem,false,,conjugation::po-polsku conjugation::basic-verb
"comprar, tú, pret. indefinido",comprar,kupować,to buy,tu,pret_indefinido,compraste,kupiłeś,false,,conjugation::po-polsku conjugation::basic-verb
"comprar, él, pret. indefinido",comprar,kupować,to buy,el,pret_indefinido,compró,kupił,false,,conjugation::po-polsku conjugation::basic-verb
"conducir, yo, pret. indefinido",conducir,prowadzić,to lead,yo,pret_indefinido,condu<em>je</em>,,true,,conjugation::po-polsku
"conducir, tú, pret. indefinido",conducir,prowadzić,to lead,tu,pret_indefinido,condu<em>j</em>iste,,true,,conjugation::po-polsku
