#separator:,
#html:true
#if matches:keep both
#notetype:Spanish Conjugation
#deck:Spanish::conjugación::All verbs::pret. perfecto: yo, tú, él
#columns:question,infinitivo,polski,english,person,case,conj_espanol,conj_polski,irregular,hint,tags
"abrir, yo, pret. perfecto",abrir,otwierać,to open,yo,pret_perfecto,he ab<em>iert</em>o,,true,,
"abrir, tú, pret. perfecto",abrir,otwierać,to open,tu,pret_perfecto,has ab<em>iert</em>o,,true,,
"abrir, él, pret. perfecto",abrir,otwierać,to open,el,pret_perfecto,ha ab<em>iert</em>o,,true,,
"acabar, yo, pret. perfecto",acabar,kończyć,to finish,yo,pret_perfecto,he acabado,,false,,
"acabar, tú, pret. perfecto",acabar,kończyć,to finish,tu,pret_perfecto,has acabado,,false,,
"acabar, él, pret. perfecto",acabar,kończyć,to finish,el,pret_perfecto,ha acabado,,false,,
"acercarse, yo, pret. perfecto",acercarse,podejść,to approach,yo,pret_perfecto,me he acercado,,false,,
"acercarse, tú, pret. perfecto",acercarse,podejść,to approach,tu,pret_perfecto,te has acercado,,false,,
"acercarse, él, pret. perfecto",acercarse,podejść,to approach,el,pret_perfecto,se ha acercado,,false,,
"acostarse, yo, pret. perfecto",acostarse,położyć się,to go to bed,yo,pret_perfecto,me he acostado,,false,,conjugation::basic-verb
"acostarse, tú, pret. perfecto",acostarse,położyć się,to go to bed,tu,pret_perfecto,te has acostado,,false,,conjugation::basic-verb
"acostarse, él, pret. perfecto",acostarse,położyć się,to go to bed,el,pret_perfecto,se ha acostado,,false,,conjugation::basic-verb
"adivinar, yo, pret. perfecto",adivinar,zgadywać,to guess,yo,pret_perfecto,he adivinado,,false,,
"adivinar, tú, pret. perfecto",adivinar,zgadywać,to guess,tu,pret_perfecto,has adivinado,,false,,
"adivinar, él, pret. perfecto",adivinar,zgadywać,to guess,el,pret_perfecto,ha adivinado,,false,,
"alcanzar, yo, pret. perfecto",alcanzar,sięgać,to reach,yo,pret_perfecto,he alcanzado,,false,,
"alcanzar, tú, pret. perfecto",alcanzar,sięgać,to reach,tu,pret_perfecto,has alcanzado,,false,,
"alcanzar, él, pret. perfecto",alcanzar,sięgać,to reach,el,pret_perfecto,ha alcanzado,,false,,
"alquilar, yo, pret. perfecto",alquilar,wynajmować,to rent,yo,pret_perfecto,he alquilado,,false,,
"alquilar, tú, pret. perfecto",alquilar,wynajmować,to rent,tu,pret_perfecto,has alquilado,,false,,
"alquilar, él, pret. perfecto",alquilar,wynajmować,to rent,el,pret_perfecto,ha alquilado,,false,,
"andar, yo, pret. perfecto",andar,chodzić,to walk,yo,pret_perfecto,he andado,,false,,conjugation::basic-verb
"andar, tú, pret. perfecto",andar,chodzić,to walk,tu,pret_perfecto,has andado,,false,,conjugation::basic-verb
"andar, él, pret. perfecto",andar,chodzić,to walk,el,pret_perfecto,ha andado,,false,,conjugation::basic-verb
"aparcar, yo, pret. perfecto",aparcar,parkować,to park,yo,pret_perfecto,he aparcado,,false,,
"aparcar, tú, pret. perfecto",aparcar,parkować,to park,tu,pret_perfecto,has aparcado,,false,,
"aparcar, él, pret. perfecto",aparcar,parkować,to park,el,pret_perfecto,ha aparcado,,false,,
"aprobarse, yo, pret. perfecto",aprobarse,aprobować,to pass,yo,pret_perfecto,me he aprobado,,false,,
"aprobarse, tú, pret. perfecto",aprobarse,aprobować,to pass,tu,pret_perfecto,te has aprobado,,false,,
"aprobarse, él, pret. perfecto",aprobarse,aprobować,to pass,el,pret_perfecto,se ha aprobado,,false,,
"beber, yo, pret. perfecto",beber,pić,to drink,yo,pret_perfecto,he bebido,,false,,
"beber, tú, pret. perfecto",beber,pić,to drink,tu,pret_perfecto,has bebido,,false,,
"beber, él, pret. perfecto",beber,pić,to drink,el,pret_perfecto,ha bebido,,false,,
"buscar, yo, pret. perfecto",buscar,szukać,to look for,yo,pret_perfecto,he buscado,,false,,conjugation::basic-verb
"buscar, tú, pret. perfecto",buscar,szukać,to look for,tu,pret_perfecto,has buscado,,false,,conjugation::basic-verb
"buscar, él, pret. perfecto",buscar,szukać,to look for,el,pret_perfecto,ha buscado,,false,,conjugation::basic-verb
"caerse, yo, pret. perfecto",caerse,upaść,to fall,yo,pret_perfecto,me he ca<em>í</em>do,,true,,
"caerse, tú, pret. perfecto",caerse,upaść,to fall,tu,pret_perfecto,te has ca<em>í</em>do,,true,,
"caerse, él, pret. perfecto",caerse,upaść,to fall,el,pret_perfecto,se ha ca<em>í</em>do,,true,,
"causar, yo, pret. perfecto",causar,powodować,to cause,yo,pret_perfecto,he causado,,false,,
"causar, tú, pret. perfecto",causar,powodować,to cause,tu,pret_perfecto,has causado,,false,,
"causar, él, pret. perfecto",causar,powodować,to cause,el,pret_perfecto,ha causado,,false,,
"cenar, yo, pret. perfecto",cenar,jeść kolację,to have dinner,yo,pret_perfecto,he cenado,,false,,
"cenar, tú, pret. perfecto",cenar,jeść kolację,to have dinner,tu,pret_perfecto,has cenado,,false,,
"cenar, él, pret. perfecto",cenar,jeść kolację,to have dinner,el,pret_perfecto,ha cenado,,false,,
"cerrar, yo, pret. perfecto",cerrar,zamykać,to close,yo,pret_perfecto,he cerrado,,false,,
"cerrar, tú, pret. perfecto",cerrar,zamykać,to close,tu,pret_perfecto,has cerrado,,false,,
"cerrar, él, pret. perfecto",cerrar,zamykać,to close,el,pret_perfecto,ha cerrado,,false,,
"comer, yo, pret. perfecto",comer,jeść,to eat,yo,pret_perfecto,he comido,,false,,conjugation::basic-verb
"comer, tú, pret. perfecto",comer,jeść,to eat,tu,pret_perfecto,has comido,,false,,conjugation::basic-verb
"comer, él, pret. perfecto",comer,jeść,to eat,el,pret_perfecto,ha comido,,false,,conjugation::basic-verb
"componer, yo, pret. perfecto",componer,skomponować,to make up,yo,pret_perfecto,he comp<em>uest</em>o,,true,,
"componer, tú, pret. perfecto",componer,skomponować,to make up,tu,pret_perfecto,has comp<em>uest</em>o,,true,,
"componer, él, pret. perfecto",componer,skomponować,to make up,el,pret_perfecto,ha comp<em>uest</em>o,,true,,
"comprar, yo, pret. perfecto",comprar,kupować,to buy,yo,pret_perfecto,he comprado,,false,,conjugation::basic-verb
"comprar, tú, pret. perfecto",comprar,kupować,to buy,tu,pret_perfecto,has comprado,,false,,conjugation::basic-verb
"comprar, él, pret. perfecto",comprar,kupować,to buy,el,pret_perfecto,ha comprado,,false,,conjugation::basic-verb
"conducir, yo, pret. perfecto",conducir,prowadzić,to lead,yo,pret_perfecto,he conducido,,false,,
"conducir, tú, pret. perfecto",conducir,prowadzić,to lead,tu,pret_perfecto,has conducido,,false,,
"conducir, él, pret. perfecto",conducir,prowadzić,to lead,el,pret_perfecto,ha conducido,,false,,
"confundirse, yo, pret. perfecto",confundirse,pomylić się,to make a mistake,yo,pret_perfecto,me he confundido,,false,,conjugation::basic-verb
"confundirse, tú, pret. perfecto",confundirse,pomylić się,to make a mistake,tu,pret_perfecto,te has confundido,,false,,conjugation::basic-verb
"confundirse, él, pret. perfecto",confundirse,pomylić się,to make a mistake,el,pret_perfecto,se ha confundido,,false,,conjugation::basic-verb
"conocer, yo, pret. perfecto",conocer,znać,to know,yo,pret_perfecto,he conocido,,false,,
"conocer, tú, pret. perfecto",conocer,znać,to know,tu,pret_perfecto,has conocido,,false,,
"conocer, él, pret. perfecto",conocer,znać,to know,el,pret_perfecto,ha conocido,,false,,
"conseguir, yo, pret. perfecto",conseguir,zyskać,to get,yo,pret_perfecto,he conseguido,,false,,conjugation::basic-verb
"conseguir, tú, pret. perfecto",conseguir,zyskać,to get,tu,pret_perfecto,has conseguido,,false,,conjugation::basic-verb
"conseguir, él, pret. perfecto",conseguir,zyskać,to get,el,pret_perfecto,ha conseguido,,false,,conjugation::basic-verb
"construir, yo, pret. perfecto",construir,budować,to build,yo,pret_perfecto,he construido,,false,,
"construir, tú, pret. perfecto",construir,budować,to build,tu,pret_perfecto,has construido,,false,,
"construir, él, pret. perfecto",construir,budować,to build,el,pret_perfecto,ha construido,,false,,
"contar, yo, pret. perfecto",contar,liczyć,to count,yo,pret_perfecto,he contado,,false,,
"contar, tú, pret. perfecto",contar,liczyć,to count,tu,pret_perfecto,has contado,,false,,
"contar, él, pret. perfecto",contar,liczyć,to count,el,pret_perfecto,ha contado,,false,,
"crecer, yo, pret. perfecto",crecer,rosnąć,to grow,yo,pret_perfecto,he crecido,,false,,
"crecer, tú, pret. perfecto",crecer,rosnąć,to grow,tu,pret_perfecto,has crecido,,false,,
"crecer, él, pret. perfecto",crecer,rosnąć,to grow,el,pret_perfecto,ha crecido,,false,,
"dar, yo, pret. perfecto",dar,dać,to give,yo,pret_perfecto,he dado,,false,,conjugation::basic-verb
"dar, tú, pret. perfecto",dar,dać,to give,tu,pret_perfecto,has dado,,false,,conjugation::basic-verb
"dar, él, pret. perfecto",dar,dać,to give,el,pret_perfecto,ha dado,,false,,conjugation::basic-verb
"deber, yo, pret. perfecto",deber,musieć,to owe,yo,pret_perfecto,he debido,,false,,
"deber, tú, pret. perfecto",deber,musieć,to owe,tu,pret_perfecto,has debido,,false,,
"deber, él, pret. perfecto",deber,musieć,to owe,el,pret_perfecto,ha debido,,false,,
"decir, yo, pret. perfecto",decir,mówić,to say,yo,pret_perfecto,he d<em>ich</em>o,,true,decir,conjugation::basic-verb
"decir, tú, pret. perfecto",decir,mówić,to say,tu,pret_perfecto,has d<em>ich</em>o,,true,decir,conjugation::basic-verb
"decir, él, pret. perfecto",decir,mówić,to say,el,pret_perfecto,ha d<em>ich</em>o,,true,decir,conjugation::basic-verb
"dejar, yo, pret. perfecto",dejar,pozostawić,to leave,yo,pret_perfecto,he dejado,,false,,conjugation::basic-verb
"dejar, tú, pret. perfecto",dejar,pozostawić,to leave,tu,pret_perfecto,has dejado,,false,,conjugation::basic-verb
"dejar, él, pret. perfecto",dejar,pozostawić,to leave,el,pret_perfecto,ha dejado,,false,,conjugation::basic-verb
"desayunar, yo, pret. perfecto",desayunar,jeść śniadanie,to have breakfast,yo,pret_perfecto,he desayunado,,false,,
