#separator:,
#html:true
#if matches:keep both
#notetype:Spanish Conjugation
#deck:Spanish::conjugación::All verbs::pretérito imperfecto: yo, tú, él
#columns:question,infinitivo,polski,english,person,case,conj_espanol,conj_polski,irregular,hint,tags
"abrir, yo, pretérito imperfecto",abrir,otwierać,to open,yo,pret_imperfecto,abría,,false,,
"abrir, tú, pretérito imperfecto",abrir,otwierać,to open,tu,pret_imperfecto,abrías,,false,,
"abrir, él, pretérito imperfecto",abrir,otwierać,to open,el,pret_imperfecto,abría,,false,,
"acabar, yo, pretérito imperfecto",acabar,kończyć,to finish,yo,pret_imperfecto,acababa,,false,,
"acabar, tú, pretérito imperfecto",acabar,kończyć,to finish,tu,pret_imperfecto,acababas,,false,,
"acabar, él, pretérito imperfecto",acabar,kończyć,to finish,el,pret_imperfecto,acababa,,false,,
"acercarse, yo, pretérito imperfecto",acercarse,podejść,to approach,yo,pret_imperfecto,me acercaba,,false,,
"acercarse, tú, pretérito imperfecto",acercarse,podejść,to approach,tu,pret_imperfecto,te acercabas,,false,,
"acercarse, él, pretérito imperfecto",acercarse,podejść,to approach,el,pret_imperfecto,se acercaba,,false,,
"acostarse, yo, pretérito imperfecto",acostarse,położyć się,to go to bed,yo,pret_imperfecto,me acostaba,,false,,conjugation::basic-verb
"acostarse, tú, pretérito imperfecto",acostarse,położyć się,to go to bed,tu,pret_imperfecto,te acostabas,,false,,conjugation::basic-verb
"acostarse, él, pretérito imperfecto",acostarse,położyć się,to go to bed,el,pret_imperfecto,se acostaba,,false,,conjugation::basic-verb
"alcanzar, yo, pretérito imperfecto",alcanzar,sięgać,to reach,yo,pret_imperfecto,alcanzaba,,false,,
"alcanzar, tú, pretérito imperfecto",alcanzar,sięgać,to reach,tu,pret_imperfecto,alcanzabas,,false,,
"alcanzar, él, pretérito imperfecto",alcanzar,sięgać,to reach,el,pret_imperfecto,alcanzaba,,false,,
"alquilar, yo, pretérito imperfecto",alquilar,wynajmować,to rent,yo,pret_imperfecto,alquilaba,,false,,
"alquilar, tú, pretérito imperfecto",alquilar,wynajmować,to rent,tu,pret_imperfecto,alquilabas,,false,,
"alquilar, él, pretérito imperfecto",alquilar,wynajmować,to rent,el,pret_imperfecto,alquilaba,,false,,
"andar, yo, pretérito imperfecto",andar,chodzić,to walk,yo,pret_imperfecto,andaba,,false,,conjugation::basic-verb
"andar, tú, pretérito imperfecto",andar,chodzić,to walk,tu,pret_imperfecto,andabas,,false,,conjugation::basic-verb
"andar, él, pretérito imperfecto",andar,chodzić,to walk,el,pret_imperfecto,andaba,,false,,conjugation::basic-verb
"aparcar, yo, pretérito imperfecto",aparcar,parkować,to park,yo,pret_imperfecto,aparcaba,,false,,
"aparcar, tú, pretérito imperfecto",aparcar,parkować,to park,tu,pret_imperfecto,aparcabas,,false,,
"aparcar, él, pretérito imperfecto",aparcar,parkować,to park,el,pret_imperfecto,aparcaba,,false,,
"aprobarse, yo, pretérito imperfecto",aprobarse,aprobować,to pass,yo,pret_imperfecto,me aprobaba,,false,,
"aprobarse, tú, pretérito imperfecto",aprobarse,aprobować,to pass,tu,pret_imperfecto,te aprobabas,,false,,
"aprobarse, él, pretérito imperfecto",aprobarse,aprobować,to pass,el,pret_imperfecto,se aprobaba,,false,,
"beber, yo, pretérito imperfecto",beber,pić,to drink,yo,pret_imperfecto,bebía,,false,,
"beber, tú, pretérito imperfecto",beber,pić,to drink,tu,pret_imperfecto,bebías,,false,,
"beber, él, pretérito imperfecto",beber,pić,to drink,el,pret_imperfecto,bebía,,false,,
"caerse, yo, pretérito imperfecto",caerse,upaść,to fall,yo,pret_imperfecto,me caía,,false,,
"caerse, tú, pretérito imperfecto",caerse,upaść,to fall,tu,pret_imperfecto,te caías,,false,,
"caerse, él, pretérito imperfecto",caerse,upaść,to fall,el,pret_imperfecto,se caía,,false,,
"causar, yo, pretérito imperfecto",causar,powodować,to cause,yo,pret_imperfecto,causaba,,false,,
"causar, tú, pretérito imperfecto",causar,powodować,to cause,tu,pret_imperfecto,causabas,,false,,
"causar, él, pretérito imperfecto",causar,powodować,to cause,el,pret_imperfecto,causaba,,false,,
"cenar, yo, pretérito imperfecto",cenar,jeść kolację,to have dinner,yo,pret_imperfecto,cenaba,,false,,
"cenar, tú, pretérito imperfecto",cenar,jeść kolację,to have dinner,tu,pret_imperfecto,cenabas,,false,,
"cenar, él, pretérito imperfecto",cenar,jeść kolację,to have dinner,el,pret_imperfecto,cenaba,,false,,
"cerrar, yo, pretérito imperfecto",cerrar,zamykać,to close,yo,pret_imperfecto,cerraba,,false,,
"cerrar, tú, pretérito imperfecto",cerrar,zamykać,to close,tu,pret_imperfecto,cerrabas,,false,,
"cerrar, él, pretérito imperfecto",cerrar,zamykać,to close,el,pret_imperfecto,cerraba,,false,,
"comer, yo, pretérito imperfecto",comer,jeść,to eat,yo,pret_imperfecto,comía,,false,,conjugation::basic-verb
"comer, tú, pretérito imperfecto",comer,jeść,to eat,tu,pret_imperfecto,comías,,false,,conjugation::basic-verb
"comer, él, pretérito imperfecto",comer,jeść,to eat,el,pret_imperfecto,comía,,false,,conjugation::basic-verb
"componer, yo, pretérito imperfecto",componer,skomponować,to make up,yo,pret_imperfecto,componía,,false,,
"componer, tú, pretérito imperfecto",componer,skomponować,to make up,tu,pret_imperfecto,componías,,false,,
"componer, él, pretérito imperfecto",componer,skomponować,to make up,el,pret_imperfecto,componía,,false,,
"comprar, yo, pretérito imperfecto",comprar,kupować,to buy,yo,pret_imperfecto,compraba,,false,,conjugation::basic-verb
"comprar, tú, pretérito imperfecto",comprar,kupować,to buy,tu,pret_imperfecto,comprabas,,false,,conjugation::basic-verb
"comprar, él, pretérito imperfecto",comprar,kupować,to buy,el,pret_imperfecto,compraba,,false,,conjugation::basic-verb
"conducir, yo, pretérito imperfecto",conducir,prowadzić,to lead,yo,pret_imperfecto,conducía,,false,,
"conducir, tú, pretérito imperfecto",conducir,prowadzić,to lead,tu,pret_imperfecto,conducías,,false,,
"conducir, él, pretérito imperfecto",conducir,prowadzić,to lead,el,pret_imperfecto,conducía,,false,,
"confundirse, yo, pretérito imperfecto",confundirse,pomylić się,to make a mistake,yo,pret_imperfecto,me confundía,,false,,conjugation::basic-verb
"confundirse, tú, pretérito imperfecto",confundirse,pomylić się,to make a mistake,tu,pret_imperfecto,te confundías,,false,,conjugation::basic-verb
"confundirse, él, pretérito imperfecto",confundirse,pomylić się,to make a mistake,el,pret_imperfecto,se confundía,,false,,conjugation::basic-verb
"conocer, yo, pretérito imperfecto",conocer,znać,to know,yo,pret_imperfecto,conocía,,false,,
"conocer, tú, pretérito imperfecto",conocer,znać,to know,tu,pret_imperfecto,conocías,,false,,
"conocer, él, pretérito imperfecto",conocer,znać,to know,el,pret_imperfecto,conocía,,false,,
"conseguir, yo, pretérito imperfecto",conseguir,zyskać,to get,yo,pret_imperfecto,conseguía,,false,,conjugation::basic-verb
"conseguir, tú, pretérito imperfecto",conseguir,zyskać,to get,tu,pret_imperfecto,conseguías,,false,,conjugation::basic-verb
"conseguir, él, pretérito imperfecto",conseguir,zyskać,to get,el,pret_imperfecto,conseguía,,false,,conjugation::basic-verb
"construir, yo, pretérito imperfecto",construir,budować,to build,yo,pret_imperfecto,construía,,false,,
"construir, tú, pretérito imperfecto",construir,budować,to build,tu,pret_imperfecto,construías,,false,,
"construir, él, pretérito imperfecto",construir,budować,to build,el,pret_imperfecto,construía,,false,,
"contar, yo, pretérito imperfecto",contar,liczyć,to count,yo,pret_imperfecto,contaba,,false,,
"contar, tú, pretérito imperfecto",contar,liczyć,to count,tu,pret_imperfecto,contabas,,false,,
"contar, él, pretérito imperfecto",contar,liczyć,to count,el,pret_imperfecto,contaba,,false,,
"crecer, yo, pretérito imperfecto",crecer,rosnąć,to grow,yo,pret_imperfecto,crecía,,false,,
"crecer, tú, pretérito imperfecto",crecer,rosnąć,to grow,tu,pret_imperfecto,crecías,,false,,
"crecer, él, pretérito imperfecto",crecer,rosnąć,to grow,el,pret_imperfecto,crecía,,false,,
"dar, yo, pretérito imperfecto",dar,dać,to give,yo,pret_imperfecto,daba,,false,,conjugation::basic-verb
"dar, tú, pretérito imperfecto",dar,dać,to give,tu,pret_imperfecto,dabas,,false,,conjugation::basic-verb
"dar, él, pretérito imperfecto",dar,dać,to give,el,pret_imperfecto,daba,,false,,conjugation::basic-verb
"deber, yo, pretérito imperfecto",deber,musieć,to owe,yo,pret_imperfecto,debía,,false,,
"deber, tú, pretérito imperfecto",deber,musieć,to owe,tu,pret_imperfecto,debías,,false,,
"deber, él, pretérito imperfecto",deber,musieć,to owe,el,pret_imperfecto,debía,,false,,
"decir, yo, pretérito imperfecto",decir,mówić,to say,yo,pret_imperfecto,decía,,false,,conjugation::basic-verb
"decir, tú, pretérito imperfecto",decir,mówić,to say,tu,pret_imperfecto,decías,,false,,conjugation::basic-verb
"decir, él, pretérito imperfecto",decir,mówić,to say,el,pret_imperfecto,decía,,false,,conjugation::basic-verb
"dejar, yo, pretérito imperfecto",dejar,pozostawić,to leave,yo,pret_imperfecto,dejaba,,false,,conjugation::basic-verb
"dejar, tú, pretérito imperfecto",dejar,pozostawić,to leave,tu,pret_imperfecto,dejabas,,false,,conjugation::basic-verb
"dejar, él, pretérito imperfecto",dejar,pozostawić,to leave,el,pret_imperfecto,dejaba,,false,,conjugation::basic-verb
"desayunar, yo, pretérito imperfecto",desayunar,jeść śniadanie,to have breakfast,yo,pret_imperfecto,desayunaba,,false,,
"desayunar, tú, pretérito imperfecto",desayunar,jeść śniadanie,to have breakfast,tu,pret_imperfecto,desayunabas,,false,,
"desayunar, él, pretérito imperfecto",desayunar,jeść śniadanie,to have breakfast,el,pret_imperfecto,desayunaba,,false,,
"descubrir, yo, pretérito imperfecto",descubrir,odkryć,to discover,yo,pret_imperfecto,descubría,,false,,
"descubrir, tú, pretérito imperfecto",descubrir,odkryć,to discover,tu,pret_imperfecto,descubrías,,false,,
"descubrir, él, pretérito imperfecto",descubrir,odkryć,to discover,el,pret_imperfecto,descubría,,false,,
"despertarse, yo, pretérito imperfecto",despertarse,budzić się,to wake up,yo,pret_imperfecto,me despertaba,,false,,conjugation::basic-verb
"despertarse, tú, pretérito imperfecto",despertarse,budzić się,to wake up,tu,pret_imperfecto,te despertabas,,false,,conjugation::basic-verb
"despertarse, él, pretérito imperfecto",despertarse,budzić się,to wake up,el,pret_imperfecto,se despertaba,,false,,conjugation::basic-verb
"doler, yo, pretérito imperfecto",doler,boleć,to hurt,yo,pret_imperfecto,dolía,,false,,
"doler, tú, pretérito imperfecto",doler,boleć,to hurt,tu,pret_imperfecto,dolías,,false,,
"doler, él, pretérito imperfecto",doler,boleć,to hurt,el,pret_imperfecto,dolía,,false,,
"dormir, yo, pretérito imperfecto",dormir,spać,to sleep,yo,pret_imperfecto,dormía,,false,,conjugation::basic-verb
"dormir, tú, pretérito imperfecto",dormir,spać,to sleep,tu,pret_imperfecto,dormías,,false,,conjugation::basic-verb
"dormir, él, pretérito imperfecto",dormir,spać,to sleep,el,pret_imperfecto,dormía,,false,,conjugation::basic-verb
"empezar, yo, pretérito imperfecto",empezar,zaczynać,to start,yo,pret_imperfecto,empezaba,,false,,conjugation::basic-verb
"empezar, tú, pretérito imperfecto",empezar,zaczynać,to start,tu,pret_imperfecto,empezabas,,false,,conjugation::basic-verb
"empezar, él, pretérito imperfecto",empezar,zaczynać,to start,el,pret_imperfecto,empezaba,,false,,conjugation::basic-verb
"entender, yo, pretérito imperfecto",entender,rozumieć,to understand,yo,pret_imperfecto,entendía,,false,,conjugation::basic-verb
"entender, tú, pretérito imperfecto",entender,rozumieć,to understand,tu,pret_imperfecto,entendías,,false,,conjugation::basic-verb
"entender, él, pretérito imperfecto",entender,rozumieć,to understand,el,pret_imperfecto,entendía,,false,,conjugation::basic-verb
"equivocarse, yo, pretérito imperfecto",equivocarse,pomylić się,to make a mistake,yo,pret_imperfecto,me equivocaba,,false,,
"equivocarse, tú, pretérito imperfecto",equivocarse,pomylić się,to make a mistake,tu,pret_imperfecto,te equivocabas,,false,,
"equivocarse, él, pretérito imperfecto",equivocarse,pomylić się,to make a mistake,el,pret_imperfecto,se equivocaba,,false,,
"escribir, yo, pretérito imperfecto",escribir,pisać,to write,yo,pret_imperfecto,escribía,,false,,
"escribir, tú, pretérito imperfecto",escribir,pisać,to write,tu,pret_imperfecto,escribías,,false,,
"escribir, él, pretérito imperfecto",escribir,pisać,to write,el,pret_imperfecto,escribía,,false,,
"esperar, yo, pretérito imperfecto",esperar,czekać,to wait for,yo,pret_imperfecto,esperaba,,false,,
"esperar, tú, pretérito imperfecto",esperar,czekać,to wait for,tu,pret_imperfecto,esperabas,,false,,
"esperar, él, pretérito imperfecto",esperar,czekać,to wait for,el,pret_imperfecto,esperaba,,false,,
"estar, yo, pretérito imperfecto",estar,być,to be,yo,pret_imperfecto,estaba,,false,estar,conjugation::basic-verb
"estar, tú, pretérito imperfecto",estar,być,to be,tu,pret_imperfecto,estabas,,false,estar,conjugation::basic-verb
"estar, él, pretérito imperfecto",estar,być,to be,el,pret_imperfecto,estaba,,false,estar,conjugation::basic-verb
"fregar, yo, pretérito imperfecto",fregar,szorować,to wash,yo,pret_imperfecto,fregaba,,false,,
"fregar, tú, pretérito imperfecto",fregar,szorować,to wash,tu,pret_imperfecto,fregabas,,false,,
"fregar, él, pretérito imperfecto",fregar,szorować,to wash,el,pret_imperfecto,fregaba,,false,,
"freír, yo, pretérito imperfecto",freír,smażyć,to fry,yo,pret_imperfecto,freía,,false,,
"freír, tú, pretérito imperfecto",freír,smażyć,to fry,tu,pret_imperfecto,freías,,false,,
"freír, él, pretérito imperfecto",freír,smażyć,to fry,el,pret_imperfecto,freía,,false,,
"haber, yo, pretérito imperfecto",haber,egzystować,to have,yo,pret_imperfecto,había,,false,,conjugation::basic-verb
"haber, tú, pretérito imperfecto",haber,egzystować,to have,tu,pret_imperfecto,habías,,false,,conjugation::basic-verb
