#separator:,
#html:true
#if matches:keep both
#notetype:Spanish Conjugation
#deck:Spanish::conjugación::Basic verbs::all
#columns:question,infinitivo,polski,english,person,case,conj_espanol,conj_polski,irregular,hint
"acostarse, yo, presente",acostarse,położyć się,to go to bed,yo,presente,me ac<em>ue</em>sto,kładę się,True,
"acostarse, tú, presente",acostarse,położyć się,to go to bed,tu,presente,te ac<em>ue</em>stas,kładziesz się,True,
"acostarse, él, presente",acostarse,położyć się,to go to bed,el,presente,se ac<em>ue</em>sta,kładzie się,True,
"acostarse, ns, presente",acostarse,położyć się,to go to bed,ns,presente,nos acostamos,kładziemy się,False,
"acostarse, vs, presente",acostarse,położyć się,to go to bed,vs,presente,os acostáis,kładziecie się,False,
"acostarse, ellos, presente",acostarse,położyć się,to go to bed,ellos,presente,se ac<em>ue</em>stan,kładą się,True,
"acostarse, yo, pret. indefinido",acostarse,położyć się,to go to bed,yo,pret_indefinido,me acosté,położyłem się,False,
"acostarse, tú, pret. indefinido",acostarse,położyć się,to go to bed,tu,pret_indefinido,te acostaste,położyłeś się,False,
"acostarse, él, pret. indefinido",acostarse,położyć się,to go to bed,el,pret_indefinido,se acostó,położył się,False,
"acostarse, ns, pret. indefinido",acostarse,położyć się,to go to bed,ns,pret_indefinido,nos acostamos,położyliśmy się,False,
"acostarse, vs, pret. indefinido",acostarse,położyć się,to go to bed,vs,pret_indefinido,os acostasteis,położyliście się,False,
"acostarse, ellos, pret. indefinido",acostarse,położyć się,to go to bed,ellos,pret_indefinido,se acostaron,położyli się,False,
"acostarse, yo, pret. perfecto",acostarse,położyć się,to go to bed,yo,pret_perfecto,me he acostado,,False,
"acostarse, tú, pret. perfecto",acostarse,położyć się,to go to bed,tu,pret_perfecto,te has acostado,,False,
"acostarse, él, pret. perfecto",acostarse,położyć się,to go to bed,el,pret_perfecto,se ha acostado,,False,
"acostarse, ns, pret. perfecto",acostarse,położyć się,to go to bed,ns,pret_perfecto,nos hemos acostado,,False,
"acostarse, vs, pret. perfecto",acostarse,położyć się,to go to bed,vs,pret_perfecto,os habéis acostado,,False,
"acostarse, ellos, pret. perfecto",acostarse,położyć się,to go to bed,ellos,pret_perfecto,se han acostado,,False,
"acostarse, yo, presente progresivo",acostarse,położyć się,to go to bed,yo,presente_progresivo,me estoy acostando,,False,
"acostarse, tú, presente progresivo",acostarse,położyć się,to go to bed,tu,presente_progresivo,te estás acostando,,False,
"acostarse, él, presente progresivo",acostarse,położyć się,to go to bed,el,presente_progresivo,se está acostando,,False,
"acostarse, ns, presente progresivo",acostarse,położyć się,to go to bed,ns,presente_progresivo,nos estamos acostando,,False,
"acostarse, vs, presente progresivo",acostarse,położyć się,to go to bed,vs,presente_progresivo,os estáis acostando,,False,
"acostarse, ellos, presente progresivo",acostarse,położyć się,to go to bed,ellos,presente_progresivo,se están acostando,,False,
"acostarse, yo, pretérito imperfecto",acostarse,położyć się,to go to bed,yo,pret_imperfecto,me acostaba,,False,
"acostarse, tú, pretérito imperfecto",acostarse,położyć się,to go to bed,tu,pret_imperfecto,te acostabas,,False,
"acostarse, él, pretérito imperfecto",acostarse,położyć się,to go to bed,el,pret_imperfecto,se acostaba,,False,
"acostarse, ns, pretérito imperfecto",acostarse,położyć się,to go to bed,ns,pret_imperfecto,nos acostábamos,,False,
"acostarse, vs, pretérito imperfecto",acostarse,położyć się,to go to bed,vs,pret_imperfecto,os acostabais,,False,
"acostarse, ellos, pretérito imperfecto",acostarse,położyć się,to go to bed,ellos,pret_imperfecto,se acostaban,,False,
"acostarse, tú, imperativo",acostarse,położyć się,to go to bed,tu,imperativo,ac<em>ué</em>state,,True,
"acostarse, usted, imperativo",acostarse,położyć się,to go to bed,ud,imperativo,ac<em>ué</em>stese,,True,
"acostarse, ns, imperativo",acostarse,położyć się,to go to bed,ns,imperativo,acostémonos,,False,
"acostarse, vs, imperativo",acostarse,położyć się,to go to bed,vs,imperativo,acostaos,,False,
"acostarse, ustedes, imperativo",acostarse,położyć się,to go to bed,uds,imperativo,ac<em>ué</em>stense,,True,
"acostarse, yo, futuro",acostarse,położyć się,to go to bed,yo,futuro_simple,me acostaré,,False,
"acostarse, tú, futuro",acostarse,położyć się,to go to bed,tu,futuro_simple,te acostarás,,False,
"acostarse, él, futuro",acostarse,położyć się,to go to bed,el,futuro_simple,se acostará,,False,
"acostarse, ns, futuro",acostarse,położyć się,to go to bed,ns,futuro_simple,nos acostaremos,,False,
"acostarse, vs, futuro",acostarse,położyć się,to go to bed,vs,futuro_simple,os acostaréis,,False,
"acostarse, ellos, futuro",acostarse,położyć się,to go to bed,ellos,futuro_simple,se acostarán,,False,
"andar, yo, presente",andar,chodzić,to walk,yo,presente,ando,,False,
"andar, tú, presente",andar,chodzić,to walk,tu,presente,andas,,False,
"andar, él, presente",andar,chodzić,to walk,el,presente,anda,,False,
"andar, ns, presente",andar,chodzić,to walk,ns,presente,andamos,,False,
"andar, vs, presente",andar,chodzić,to walk,vs,presente,andáis,,False,
"andar, ellos, presente",andar,chodzić,to walk,ellos,presente,andan,,False,
"andar, yo, pret. indefinido",andar,chodzić,to walk,yo,pret_indefinido,and<em>uve</em>,,True,
"andar, tú, pret. indefinido",andar,chodzić,to walk,tu,pret_indefinido,and<em>uvi</em>ste,,True,
"andar, él, pret. indefinido",andar,chodzić,to walk,el,pret_indefinido,and<em>uvo</em>,,True,
"andar, ns, pret. indefinido",andar,chodzić,to walk,ns,pret_indefinido,and<em>uvi</em>mos,,True,
"andar, vs, pret. indefinido",andar,chodzić,to walk,vs,pret_indefinido,and<em>uvi</em>steis,,True,
"andar, ellos, pret. indefinido",andar,chodzić,to walk,ellos,pret_indefinido,and<em>uvie</em>ron,,True,
"andar, yo, pret. perfecto",andar,chodzić,to walk,yo,pret_perfecto,he andado,,False,
"andar, tú, pret. perfecto",andar,chodzić,to walk,tu,pret_perfecto,has andado,,False,
"andar, él, pret. perfecto",andar,chodzić,to walk,el,pret_perfecto,ha andado,,False,
"andar, ns, pret. perfecto",andar,chodzić,to walk,ns,pret_perfecto,hemos andado,,False,
"andar, vs, pret. perfecto",andar,chodzić,to walk,vs,pret_perfecto,habéis andado,,False,
