#separator:,
#html:true
#if matches:keep both
#notetype:Spanish Conjugation
#deck:Spanish::conjugación::Basic verbs::futuro: yo, tú, él
#columns:question,infinitivo,polski,english,person,case,conj_espanol,conj_polski,irregular,hint,tags
"acostarse, yo, futuro",acostarse,położyć się,to go to bed,yo,futuro_simple,me acostaré,,false,,conjugation::basic-verb
"acostarse, tú, futuro",acostarse,położyć się,to go to bed,tu,futuro_simple,te acostarás,,false,,conjugation::basic-verb
"acostarse, él, futuro",acostarse,położyć się,to go to bed,el,futuro_simple,se acostará,,false,,conjugation::basic-verb
"adivinar, yo, futuro",adivinar,zgadywać,to guess,yo,futuro_simple,adivinaré,,false,,conjugation::basic-verb
"adivinar, tú, futuro",adivinar,zgadywać,to guess,tu,futuro_simple,adivinarás,,false,,conjugation::basic-verb
"adivinar, él, futuro",adivinar,zgadywać,to guess,el,futuro_simple,adivinará,,false,,conjugation::basic-verb
"andar, yo, futuro",andar,chodzić,to walk,yo,futuro_simple,andaré,,false,,conjugation::basic-verb
"andar, tú, futuro",andar,chodzić,to walk,tu,futuro_simple,andarás,,false,,conjugation::basic-verb
"andar, él, futuro",andar,chodzić,to walk,el,futuro_simple,andará,,false,,conjugation::basic-verb
"buscar, yo, futuro",buscar,szukać,to look for,yo,futuro_simple,buscaré,,false,,conjugation::basic-verb
"buscar, tú, futuro",buscar,szukać,to look for,tu,futuro_simple,buscarás,,false,,conjugation::basic-verb
"buscar, él, futuro",buscar,szukać,to look for,el,futuro_simple,buscará,,false,,conjugation::basic-verb
"callarse, yo, futuro",callarse,zamknąć się,to be quiet,yo,futuro_simple,me callaré,,false,,conjugation::basic-verb
"callarse, tú, futuro",callarse,zamknąć się,to be quiet,tu,futuro_simple,te callarás,,false,,conjugation::basic-verb
"callarse, él, futuro",callarse,zamknąć się,to be quiet,el,futuro_simple,se callará,,false,,conjugation::basic-verb
"comer, yo, futuro",comer,jeść,to eat,yo,futuro_simple,comeré,,false,,conjugation::basic-verb
"comer, tú, futuro",comer,jeść,to eat,tu,futuro_simple,comerás,,false,,conjugation::basic-verb
"comer, él, futuro",comer,jeść,to eat,el,futuro_simple,comerá,,false,,conjugation::basic-verb
"comprar, yo, futuro",comprar,kupować,to buy,yo,futuro_simple,compraré,,false,,conjugation::basic-verb
"comprar, tú, futuro",comprar,kupować,to buy,tu,futuro_simple,comprarás,,false,,conjugation::basic-verb
"comprar, él, futuro",comprar,kupować,to buy,el,futuro_simple,comprará,,false,,conjugation::basic-verb
"confundirse, yo, futuro",confundirse,pomylić się,to make a mistake,yo,futuro_simple,me confundiré,,false,,conjugation::basic-verb
"confundirse, tú, futuro",confundirse,pomylić się,to make a mistake,tu,futuro_simple,te confundirás,,false,,conjugation::basic-verb
"confundirse, él, futuro",confundirse,pomylić się,to make a mistake,el,futuro_simple,se confundirá,,false,,conjugation::basic-verb
"conseguir, yo, futuro",conseguir,zyskać,to get,yo,futuro_simple,conseguiré,,false,,conjugation::basic-verb
"conseguir, tú, futuro",conseguir,zyskać,to get,tu,futuro_simple,conseguirás,,false,,conjugation::basic-verb
"conseguir, él, futuro",conseguir,zyskać,to get,el,futuro_simple,conseguirá,,false,,conjugation::basic-verb
"dar, yo, futuro",dar,dać,to give,yo,futuro_simple,daré,,false,,conjugation::basic-verb
"dar, tú, futuro",dar,dać,to give,tu,futuro_simple,darás,,false,,conjugation::basic-verb
"dar, él, futuro",dar,dać,to give,el,futuro_simple,dará,,false,,conjugation::basic-verb
"decir, yo, futuro",decir,mówić,to say,yo,futuro_simple,d<em>ir</em>é,,true,decir,conjugation::basic-verb
"decir, tú, futuro",decir,mówić,to say,tu,futuro_simple,d<em>ir</em>ás,,true,decir,conjugation::basic-verb
"decir, él, futuro",decir,mówić,to say,el,futuro_simple,d<em>ir</em>á,,true,decir,conjugation::basic-verb
"dejar, yo, futuro",dejar,pozostawić,to leave,yo,futuro_simple,dejaré,,false,,conjugation::basic-verb
"dejar, tú, futuro",dejar,pozostawić,to leave,tu,futuro_simple,dejarás,,false,,conjugation::basic-verb
"dejar, él, futuro",dejar,pozostawić,to leave,el,futuro_simple,dejará,,false,,conjugation::basic-verb
"despertarse, yo, futuro",despertarse,budzić się,to wake up,yo,futuro_simple,me despertaré,,false,,conjugation::basic-verb
"despertarse, tú, futuro",despertarse,budzić się,to wake up,tu,futuro_simple,te despertarás,,false,,conjugation::basic-verb
"despertarse, él, futuro",despertarse,budzić się,to wake up,el,futuro_simple,se despertará,,false,,conjugation::basic-verb
"dormir, yo, futuro",dormir,spać,to sleep,yo,futuro_simple,dormiré,,false,,conjugation::basic-verb
"dormir, tú, futuro",dormir,spać,to sleep,tu,futuro_simple,dormirás,,false,,conjugation::basic-verb
"dormir, él, futuro",dormir,spać,to sleep,el,futuro_simple,dormirá,,false,,conjugation::basic-verb
"empezar, yo, futuro",empezar,zaczynać,to start,yo,futuro_simple,empezaré,,false,,conjugation::basic-verb
"empezar, tú, futuro",empezar,zaczynać,to start,tu,futuro_simple,empezarás,,false,,conjugation::basic-verb
"empezar, él, futuro",empezar,zaczynać,to start,el,futuro_simple,empezará,,false,,conjugation::basic-verb
"encontrar, yo, futuro",encontrar,znaleźć,to find,yo,futuro_simple,encontraré,,false,,conjugation::basic-verb
"encontrar, tú, futuro",encontrar,znaleźć,to find,tu,futuro_simple,encontrarás,,false,,conjugation::basic-verb
"encontrar, él, futuro",encontrar,znaleźć,to find,el,futuro_simple,encontrará,,false,,conjugation::basic-verb
"entender, yo, futuro",entender,rozumieć,to understand,yo,futuro_simple,entenderé,,false,,conjugation::basic-verb
"entender, tú, futuro",entender,rozumieć,to understand,tu,futuro_simple,entenderás,,false,,conjugation::basic-verb
"entender, él, futuro",entender,rozumieć,to understand,el,futuro_simple,entenderá,,false,,conjugation::basic-verb
"escuchar, yo, futuro",escuchar,słuchać,to listen to,yo,futuro_simple,escucharé,,false,,conjugation::basic-verb
"escuchar, tú, futuro",escuchar,słuchać,to listen to,tu,futuro_simple,escucharás,,false,,conjugation::basic-verb
"escuchar, él, futuro",escuchar,słuchać,to listen to,el,futuro_simple,escuchará,,false,,conjugation::basic-verb
"estar, yo, futuro",estar,być,to be,yo,futuro_simple,estaré,,false,estar,conjugation::basic-verb
"estar, tú, futuro",estar,być,to be,tu,futuro_simple,estarás,,false,estar,conjugation::basic-verb
"estar, él, futuro",estar,być,to be,el,futuro_simple,estará,,false,estar,conjugation::basic-verb
"haber, yo, futuro",haber,egzystować,to have,yo,futuro_simple,hab<em>r</em>é,,true,,conjugation::basic-verb
"haber, tú, futuro",haber,egzystować,to have,tu,futuro_simple,hab<em>r</em>ás,,true,,conjugation::basic-verb
"haber, él, futuro",haber,egzystować,to have,el,futuro_simple,hab<em>r</em>á,,true,,conjugation::basic-verb
"hablar, yo, futuro",hablar,mówić,to speak,yo,futuro_simple,hablaré,,false,hablar,conjugation::basic-verb
"hablar, tú, futuro",hablar,mówić,to speak,tu,futuro_simple,hablarás,,false,hablar,conjugation::basic-verb
"hablar, él, futuro",hablar,mówić,to speak,el,futuro_simple,hablará,,false,hablar,conjugation::basic-verb
"hacer, yo, futuro",hacer,robić,to do,yo,futuro_simple,ha<em>r</em>é,,true,,conjugation::basic-verb
"hacer, tú, futuro",hacer,robić,to do,tu,futuro_simple,ha<em>r</em>ás,,true,,conjugation::basic-verb
"hacer, él, futuro",hacer,robić,to do,el,futuro_simple,ha<em>r</em>á,,true,,conjugation::basic-verb
"ir, yo, futuro",ir,iść,to go,yo,futuro_simple,iré,,false,ir,conjugation::basic-verb
"ir, tú, futuro",ir,iść,to go,tu,futuro_simple,irás,,false,ir,conjugation::basic-verb
"ir, él, futuro",ir,iść,to go,el,futuro_simple,irá,,false,ir,conjugation::basic-verb
