#separator:,
#html:true
#if matches:keep both
#notetype:Spanish Conjugation
#deck:Spanish::conjugación::Basic verbs::irregulares
#columns:question,infinitivo,polski,english,person,case,conj_espanol,conj_polski,irregular,hint,tags
"acostarse, yo, presente",acostarse,położyć się,to go to bed,yo,presente,me ac<em>ue</em>sto,kładę się,true,,conjugation::basic-verb
"acostarse, tú, presente",acostarse,położyć się,to go to bed,tu,presente,te ac<em>ue</em>stas,kładziesz się,true,,conjugation::basic-verb
"acostarse, él, presente",acostarse,położyć się,to go to bed,el,presente,se ac<em>ue</em>sta,kładzie się,true,,conjugation::basic-verb
"acostarse, ellos, presente",acostarse,położyć się,to go to bed,ellos,presente,se ac<em>ue</em>stan,kładą się,true,,conjugation::basic-verb
"acostarse, tú, imperativo",acostarse,położyć się,to go to bed,tu,imperativo,ac<em>ué</em>state,,true,,conjugation::basic-verb
"acostarse, usted, imperativo",acostarse,położyć się,to go to bed,ud,imperativo,ac<em>ué</em>stese,,true,,conjugation::basic-verb
"acostarse, ustedes, imperativo",acostarse,położyć się,to go to bed,uds,imperativo,ac<em>ué</em>stense,,true,,conjugation::basic-verb
"andar, yo, pret. indefinido",andar,chodzić,to walk,yo,pret_indefinido,and<em>uve</em>,,true,,conjugation::basic-verb
"andar, tú, pret. indefinido",andar,chodzić,to walk,tu,pret_indefinido,and<em>uvi</em>ste,,true,,conjugation::basic-verb
"andar, él, pret. indefinido",andar,chodzić,to walk,el,pret_indefinido,and<em>uvo</em>,,true,,conjugation::basic-verb
"andar, ns, pret. indefinido",andar,chodzić,to walk,ns,pret_indefinido,and<em>uvi</em>mos,,true,,conjugation::basic-verb
"andar, vs, pret. indefinido",andar,chodzić,to walk,vs,pret_indefinido,and<em>uvi</em>steis,,true,,conjugation::basic-verb
"andar, ellos, pret. indefinido",andar,chodzić,to walk,ellos,pret_indefinido,and<em>uvie</em>ron,,true,,conjugation::basic-verb
"conseguir, yo, presente",conseguir,zyskać,to get,yo,presente,cons<em>ig</em>o,zyskuję,true,,conjugation::basic-verb
"conseguir, tú, presente",conseguir,zyskać,to get,tu,presente,cons<em>i</em>gues,zyskujesz,true,,conjugation::basic-verb
"conseguir, él, presente",conseguir,zyskać,to get,el,presente,cons<em>i</em>gue,zyskuje,true,,conjugation::basic-verb
"conseguir, ellos, presente",conseguir,zyskać,to get,ellos,presente,cons<em>i</em>guen,zyskują,true,,conjugation::basic-verb
"conseguir, él, pret. indefinido",conseguir,zyskać,to get,el,pret_indefinido,cons<em>i</em>guió,zyskał,true,,conjugation::basic-verb
"conseguir, ellos, pret. indefinido",conseguir,zyskać,to get,ellos,pret_indefinido,cons<em>i</em>guieron,zyskali,true,,conjugation::basic-verb
"conseguir, yo, presente progresivo",conseguir,zyskać,to get,yo,presente_progresivo,estoy cons<em>i</em>guiendo,,true,,conjugation::basic-verb
