#separator:,
#html:true
#if matches:keep both
#notetype:Spanish Conjugation
#deck:Spanish::conjugación::Basic verbs::presente: yo, tú, él
#columns:question,infinitivo,polski,english,person,case,conj_espanol,conj_polski,irregular,hint,tags
"acostarse, yo, presente",acostarse,położyć się,to go to bed,yo,presente,me ac<em>ue</em>sto,kładę się,true,,conjugation::basic-verb
"acostarse, tú, presente",acostarse,położyć się,to go to bed,tu,presente,te ac<em>ue</em>stas,kładziesz się,true,,conjugation::basic-verb
"acostarse, él, presente",acostarse,położyć się,to go to bed,el,presente,se ac<em>ue</em>sta,kładzie się,true,,conjugation::basic-verb
"andar, yo, presente",andar,chodzić,to walk,yo,presente,ando,,false,,conjugation::basic-verb
"andar, tú, presente",andar,chodzić,to walk,tu,presente,andas,,false,,conjugation::basic-verb
"andar, él, presente",andar,chodzić,to walk,el,presente,anda,,false,,conjugation::basic-verb
"comer, yo, presente",comer,jeść,to eat,yo,presente,como,ję,false,,conjugation::basic-verb
"comer, tú, presente",comer,jeść,to eat,tu,presente,comes,jesz,false,,conjugation::basic-verb
"comer, él, presente",comer,jeść,to eat,el,presente,come,je,false,,conjugation::basic-verb
"comprar, yo, presente",comprar,kupować,to buy,yo,presente,compro,kupuję,false,,conjugation::basic-verb
"comprar, tú, presente",comprar,kupować,to buy,tu,presente,compras,kupujesz,false,,conjugation::basic-verb
"comprar, él, presente",comprar,kupować,to buy,el,presente,compra,kupuje,false,,conjugation::basic-verb
"confundirse, yo, presente",confundirse,pomylić się,to make a mistake,yo,presente,me confundo,,false,,conjugation::basic-verb
"confundirse, tú, presente",confundirse,pomylić się,to make a mistake,tu,presente,te confundes,,false,,conjugation::basic-verb
"confundirse, él, presente",confundirse,pomylić się,to make a mistake,el,presente,se confunde,,false,,conjugation::basic-verb
"conseguir, yo, presente",conseguir,zyskać,to get,yo,presente,cons<em>ig</em>o,zyskuję,true,,conjugation::basic-verb
"conseguir, tú, presente",conseguir,zyskać,to get,tu,presente,cons<em>i</em>gues,zyskujesz,true,,conjugation::basic-verb
"conseguir, él, presente",conseguir,zyskać,to get,el,presente,cons<em>i</em>gue,zyskuje,true,,conjugation::basic-verb
"dar, yo, presente",dar,dać,to give,yo,presente,do<em>y</em>,daję,true,,conjugation::basic-verb
"dar, tú, presente",dar,dać,to give,tu,presente,das,dajesz,false,,conjugation::basic-verb
"dar, él, presente",dar,dać,to give,el,presente,da,daje,false,,conjugation::basic-verb
"decir, yo, presente",decir,mówić,to say,yo,presente,d<em>ig</em>o,mówię,true,,conjugation::basic-verb
"decir, tú, presente",decir,mówić,to say,tu,presente,d<em>i</em>ces,mówisz,true,,conjugation::basic-verb
"decir, él, presente",decir,mówić,to say,el,presente,d<em>i</em>ce,mówi,true,,conjugation::basic-verb
"dejar, yo, presente",dejar,pozostawić,to leave,yo,presente,dejo,,false,,conjugation::basic-verb
