#separator:,
#html:true
#if matches:keep current
#notetype:Spanish Conjugation
#deck:Spanish::conjugación
#columns:question,infinitivo,polski,english,person,case,conj_espanol,conj_polski,irregular,hint
"abrir, yo, presente",abrir,otwierać,to open,yo,presente,abro,,False,
"abrir, tú, presente",abrir,otwierać,to open,tu,presente,abres,,False,
"abrir, él, presente",abrir,otwierać,to open,el,presente,abre,,False,
"abrir, ns, presente",abrir,otwierać,to open,ns,presente,abrimos,,False,
"abrir, vs, presente",abrir,otwierać,to open,vs,presente,abrís,,False,
"abrir, ellos, presente",abrir,otwierać,to open,ellos,presente,abren,,False,
"abrir, yo, pret. indefinido",abrir,otwierać,to open,yo,pret_indefinido,abrí,,False,
"abrir, tú, pret. indefinido",abrir,otwierać,to open,tu,pret_indefinido,abriste,,False,
"abrir, él, pret. indefinido",abrir,otwierać,to open,el,pret_indefinido,abrió,,False,
"abrir, ns, pret. indefinido",abrir,otwierać,to open,ns,pret_indefinido,abrimos,,False,
"abrir, vs, pret. indefinido",abrir,otwierać,to open,vs,pret_indefinido,abristeis,,False,
"abrir, ellos, pret. indefinido",abrir,otwierać,to open,ellos,pret_indefinido,abrieron,,False,
"abrir, yo, pret. perfecto",abrir,otwierać,to open,yo,pret_perfecto,he ab<em>iert</em>o,,True,
"abrir, tú, pret. perfecto",abrir,otwierać,to open,tu,pret_perfecto,has ab<em>iert</em>o,,True,
"abrir, él, pret. perfecto",abrir,otwierać,to open,el,pret_perfecto,ha ab<em>iert</em>o,,True,
"abrir, ns, pret. perfecto",abrir,otwierać,to open,ns,pret_perfecto,hemos ab<em>iert</em>o,,True,
"abrir, vs, pret. perfecto",abrir,otwierać,to open,vs,pret_perfecto,habéis ab<em>iert</em>o,,True,
"abrir, ellos, pret. perfecto",abrir,otwierać,to open,ellos,pret_perfecto,han ab<em>iert</em>o,,True,
"abrir, yo, presente progresivo",abrir,otwierać,to open,yo,presente_progresivo,estoy abriendo,,False,
"abrir, tú, presente progresivo",abrir,otwierać,to open,tu,presente_progresivo,estás abriendo,,False,
"abrir, él, presente progresivo",abrir,otwierać,to open,el,presente_progresivo,está abriendo,,False,
"abrir, ns, presente progresivo",abrir,otwierać,to open,ns,presente_progresivo,estamos abriendo,,False,
"abrir, vs, presente progresivo",abrir,otwierać,to open,vs,presente_progresivo,estáis abriendo,,False,
"abrir, ellos, presente progresivo",abrir,otwierać,to open,ellos,presente_progresivo,están abriendo,,False,
"abrir, yo, pretérito imperfecto",abrir,otwierać,to open,yo,pret_imperfecto,abría,,False,
"abrir, tú, pretérito imperfecto",abrir,otwierać,to open,tu,pret_imperfecto,abrías,,False,
"abrir, él, pretérito imperfecto",abrir,otwierać,to open,el,pret_imperfecto,abría,,False,
"abrir, ns, pretérito imperfecto",abrir,otwierać,to open,ns,pret_imperfecto,abríamos,,False,
